plant_id,material_id,period_id,demand_quantity,priority_class,service_weight,shortage_penalty_eur_per_unit
NODE-0035,MAT-0029,P01,29.26,CRITICAL,6.0,6000.0
NODE-0035,MAT-0029,P02,27.21,CRITICAL,6.0,6000.0
NODE-0035,MAT-0029,P03,26.89,CRITICAL,6.0,6000.0
NODE-0035,MAT-0029,P04,28.5,CRITICAL,6.0,6000.0
NODE-0035,MAT-0029,P05,44.11,CRITICAL,6.0,6000.0
NODE-0035,MAT-0029,P06,38.97,CRITICAL,6.0,6000.0
NODE-0035,MAT-0029,P07,33.19,CRITICAL,6.0,6000.0
NODE-0035,MAT-0029,P08,31.47,CRITICAL,6.0,6000.0
NODE-0035,MAT-0029,P09,28.89,CRITICAL,6.0,6000.0
NODE-0035,MAT-0029,P10,27.03,CRITICAL,6.0,6000.0
NODE-0035,MAT-0029,P11,27.01,CRITICAL,6.0,6000.0
NODE-0035,MAT-0029,P12,28.85,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P01,39.71,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P02,36.66,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P03,35.65,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P04,37.29,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P05,40.59,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P06,61.85,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P07,52.36,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P08,42.56,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P09,39.2,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P10,36.35,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P11,35.73,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P12,37.71,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P01,33.7,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P02,31.03,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P03,29.98,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P04,31.16,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P05,33.88,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P06,36.47,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P07,53.07,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P08,42.52,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P09,33.26,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P10,30.75,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P11,30.01,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P12,31.5,CRITICAL,6.0,6000.0
NODE-0035,MAT-0033,P01,0.0,STANDARD,1.0,900.0
NODE-0035,MAT-0033,P02,0.0,STANDARD,1.0,900.0
NODE-0035,MAT-0033,P03,0.0,STANDARD,1.0,900.0
NODE-0035,MAT-0033,P04,0.0,STANDARD,1.0,900.0
NODE-0035,MAT-0033,P05,47.2,STANDARD,1.0,900.0
NODE-0035,MAT-0033,P06,49.99,STANDARD,1.0,900.0
NODE-0035,MAT-0033,P07,51.78,STANDARD,1.0,900.0
NODE-0035,MAT-0033,P08,66.55,STANDARD,1.0,900.0
NODE-0035,MAT-0033,P09,55.31,STANDARD,1.0,900.0
NODE-0035,MAT-0033,P10,46.46,STANDARD,1.0,900.0
NODE-0035,MAT-0033,P11,44.81,STANDARD,1.0,900.0
NODE-0035,MAT-0033,P12,45.29,STANDARD,1.0,900.0
NODE-0035,MAT-0035,P01,0.0,HIGH,2.5,2400.0
NODE-0035,MAT-0035,P02,0.0,HIGH,2.5,2400.0
NODE-0035,MAT-0035,P03,0.0,HIGH,2.5,2400.0
NODE-0035,MAT-0035,P04,0.0,HIGH,2.5,2400.0
NODE-0035,MAT-0035,P05,36.43,HIGH,2.5,2400.0
NODE-0035,MAT-0035,P06,38.05,HIGH,2.5,2400.0
NODE-0035,MAT-0035,P07,40.28,HIGH,2.5,2400.0
NODE-0035,MAT-0035,P08,41.76,HIGH,2.5,2400.0
NODE-0035,MAT-0035,P09,53.58,HIGH,2.5,2400.0
NODE-0035,MAT-0035,P10,44.71,HIGH,2.5,2400.0
NODE-0035,MAT-0035,P11,37.66,HIGH,2.5,2400.0
NODE-0035,MAT-0035,P12,36.3,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P01,0.0,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P02,0.0,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P03,0.0,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P04,0.0,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P05,49.74,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P06,50.6,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P07,53.28,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P08,56.15,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P09,57.47,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P10,72.47,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P11,60.06,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P12,50.9,HIGH,2.5,2400.0
NODE-0036,MAT-0029,P01,0.0,CRITICAL,6.0,6000.0
NODE-0036,MAT-0029,P02,0.0,CRITICAL,6.0,6000.0
NODE-0036,MAT-0029,P03,0.0,CRITICAL,6.0,6000.0
NODE-0036,MAT-0029,P04,0.0,CRITICAL,6.0,6000.0
NODE-0036,MAT-0029,P05,72.3,CRITICAL,6.0,6000.0
NODE-0036,MAT-0029,P06,62.63,CRITICAL,6.0,6000.0
NODE-0036,MAT-0029,P07,58.05,CRITICAL,6.0,6000.0
NODE-0036,MAT-0029,P08,61.36,CRITICAL,6.0,6000.0
NODE-0036,MAT-0029,P09,64.2,CRITICAL,6.0,6000.0
NODE-0036,MAT-0029,P10,64.85,CRITICAL,6.0,6000.0
NODE-0036,MAT-0029,P11,62.92,CRITICAL,6.0,6000.0
NODE-0036,MAT-0029,P12,59.55,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P01,0.0,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P02,0.0,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P03,0.0,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P04,0.0,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P05,39.14,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P06,53.42,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P07,48.61,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P08,43.23,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P09,41.58,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P10,39.23,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P11,37.62,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P12,37.72,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P01,0.0,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P02,0.0,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P03,0.0,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P04,0.0,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P05,31.51,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P06,33.21,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P07,45.13,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P08,40.35,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P09,35.21,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P10,33.46,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P11,31.68,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P12,30.94,CRITICAL,6.0,6000.0
NODE-0036,MAT-0033,P01,35.85,STANDARD,1.0,900.0
NODE-0036,MAT-0033,P02,35.17,STANDARD,1.0,900.0
NODE-0036,MAT-0033,P03,32.77,STANDARD,1.0,900.0
NODE-0036,MAT-0033,P04,30.11,STANDARD,1.0,900.0
NODE-0036,MAT-0033,P05,28.79,STANDARD,1.0,900.0
NODE-0036,MAT-0033,P06,29.62,STANDARD,1.0,900.0
NODE-0036,MAT-0033,P07,32.1,STANDARD,1.0,900.0
NODE-0036,MAT-0033,P08,49.3,STANDARD,1.0,900.0
NODE-0036,MAT-0033,P09,42.35,STANDARD,1.0,900.0
NODE-0036,MAT-0033,P10,34.9,STANDARD,1.0,900.0
NODE-0036,MAT-0033,P11,32.36,STANDARD,1.0,900.0
NODE-0036,MAT-0033,P12,29.8,STANDARD,1.0,900.0
NODE-0036,MAT-0034,P01,0.0,HIGH,2.5,2400.0
NODE-0036,MAT-0034,P02,0.0,HIGH,2.5,2400.0
NODE-0036,MAT-0034,P03,0.0,HIGH,2.5,2400.0
