recipe_id,node_id,output_material_id,recipe_group_id,activation_mode,yield_rate,minimum_run_quantity,setup_required_flag,effective_from_period,effective_to_period,active_flag
RCP-00001,NODE-0013,MAT-0013,RGP-0001,BLENDABLE,0.9863,0.0,false,P01,P12,true
RCP-00002,NODE-0016,MAT-0013,,BLENDABLE,0.9676,40.0,true,P01,P12,true
RCP-00003,NODE-0014,MAT-0014,RGP-0002,BLENDABLE,0.9259,20.0,true,P01,P12,true
RCP-00004,NODE-0017,MAT-0014,,BLENDABLE,0.912,20.0,false,P01,P12,true
RCP-00005,NODE-0015,MAT-0015,,BLENDABLE,0.9239,25.0,true,P01,P12,true
RCP-00006,NODE-0018,MAT-0015,,BLENDABLE,0.9633,40.0,true,P01,P12,true
RCP-00007,NODE-0016,MAT-0016,,BLENDABLE,0.9625,20.0,true,P01,P12,true
RCP-00008,NODE-0019,MAT-0016,,BLENDABLE,0.9497,0.0,false,P01,P12,true
RCP-00009,NODE-0017,MAT-0017,,BLENDABLE,0.9813,20.0,true,P01,P12,true
RCP-00010,NODE-0020,MAT-0017,,BLENDABLE,0.9627,10.0,true,P01,P12,true
RCP-00011,NODE-0018,MAT-0018,,BLENDABLE,0.9134,20.0,true,P01,P12,true
RCP-00012,NODE-0013,MAT-0018,,BLENDABLE,0.9289,25.0,true,P01,P12,true
RCP-00013,NODE-0019,MAT-0019,,BLENDABLE,0.9261,20.0,true,P01,P12,true
RCP-00014,NODE-0014,MAT-0019,,BLENDABLE,0.9192,0.0,false,P01,P12,true
RCP-00015,NODE-0020,MAT-0020,,BLENDABLE,0.9679,40.0,false,P01,P12,true
RCP-00016,NODE-0015,MAT-0020,,BLENDABLE,0.9825,20.0,false,P01,P12,true
RCP-00017,NODE-0024,MAT-0021,RGP-0003,EXCLUSIVE,0.9624,10.0,false,P01,P12,true
RCP-00018,NODE-0025,MAT-0021,,BLENDABLE,0.9452,25.0,true,P01,P12,true
RCP-00019,NODE-0027,MAT-0022,,BLENDABLE,0.9326,20.0,true,P01,P12,true
RCP-00020,NODE-0028,MAT-0022,,BLENDABLE,0.9393,0.0,false,P01,P12,true
RCP-00021,NODE-0023,MAT-0023,,BLENDABLE,0.9846,25.0,false,P01,P12,true
RCP-00022,NODE-0026,MAT-0023,,BLENDABLE,0.9831,10.0,true,P01,P12,true
RCP-00023,NODE-0024,MAT-0024,,BLENDABLE,0.9588,10.0,true,P01,P12,true
RCP-00024,NODE-0027,MAT-0024,,BLENDABLE,0.9239,25.0,false,P01,P12,true
RCP-00025,NODE-0024,MAT-0025,,BLENDABLE,0.9677,20.0,true,P01,P12,true
RCP-00026,NODE-0027,MAT-0025,,BLENDABLE,0.9695,10.0,true,P01,P12,true
RCP-00027,NODE-0026,MAT-0026,,BLENDABLE,0.9124,10.0,false,P01,P12,true
RCP-00028,NODE-0021,MAT-0026,,BLENDABLE,0.9309,20.0,true,P01,P12,true
RCP-00029,NODE-0027,MAT-0027,,BLENDABLE,0.926,10.0,true,P01,P12,true
RCP-00030,NODE-0022,MAT-0027,,BLENDABLE,0.9673,20.0,true,P01,P12,true
RCP-00031,NODE-0028,MAT-0028,,BLENDABLE,0.9536,0.0,true,P01,P12,true
RCP-00032,NODE-0023,MAT-0028,,BLENDABLE,0.963,25.0,true,P01,P12,true
RCP-00033,NODE-0029,MAT-0029,RGP-0004,EXCLUSIVE,0.9226,40.0,true,P01,P12,true
RCP-00034,NODE-0031,MAT-0029,,BLENDABLE,0.984,40.0,true,P01,P12,true
RCP-00035,NODE-0030,MAT-0030,,BLENDABLE,0.9449,20.0,true,P01,P12,true
RCP-00036,NODE-0032,MAT-0030,,BLENDABLE,0.9495,25.0,false,P01,P12,true
RCP-00037,NODE-0031,MAT-0031,,BLENDABLE,0.9526,25.0,true,P01,P12,true
RCP-00038,NODE-0033,MAT-0031,,BLENDABLE,0.9856,40.0,true,P01,P12,true
RCP-00039,NODE-0032,MAT-0032,,BLENDABLE,0.9554,25.0,true,P01,P12,true
RCP-00040,NODE-0034,MAT-0032,,BLENDABLE,0.9467,20.0,true,P01,P12,true
RCP-00041,NODE-0033,MAT-0033,,BLENDABLE,0.9558,10.0,true,P01,P12,true
RCP-00042,NODE-0029,MAT-0033,,BLENDABLE,0.9206,40.0,true,P01,P12,true
RCP-00043,NODE-0034,MAT-0034,,BLENDABLE,0.9629,20.0,true,P01,P12,true
RCP-00044,NODE-0030,MAT-0034,,BLENDABLE,0.9298,0.0,true,P01,P12,true
RCP-00045,NODE-0029,MAT-0035,,BLENDABLE,0.9115,0.0,false,P01,P12,true
RCP-00046,NODE-0031,MAT-0035,,BLENDABLE,0.9589,25.0,true,P01,P12,true
RCP-00047,NODE-0030,MAT-0036,,BLENDABLE,0.9702,0.0,false,P01,P12,true
RCP-00048,NODE-0032,MAT-0036,,BLENDABLE,0.9801,25.0,true,P01,P12,true
RCP-00049,NODE-0013,MAT-0013,RGP-0001,BLENDABLE,0.9102,40.0,true,P01,P12,true
RCP-00050,NODE-0014,MAT-0014,RGP-0002,BLENDABLE,0.9227,10.0,false,P01,P12,true
RCP-00051,NODE-0024,MAT-0021,RGP-0003,EXCLUSIVE,0.9641,10.0,false,P01,P12,true
RCP-00052,NODE-0029,MAT-0029,RGP-0004,EXCLUSIVE,0.9336,0.0,true,P01,P12,true
