duty_rule_id,origin_country_code,destination_country_code,material_family,duty_rate,customs_value_basis,effective_from_period,effective_to_period
DUTY-00001,BR,DE,SENSING,0.03,GOODS,P01,P12
DUTY-00002,BR,PL,MAGNETIC,0.045,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00003,BR,PL,SENSING,0.03,GOODS,P01,P12
DUTY-00004,BR,US,MAGNETIC,0.045,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00005,CA,DE,MAGNETIC,0.045,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00006,CA,PL,INSULATION,0.065,GOODS,P01,P12
DUTY-00007,CA,PL,MAGNETIC,0.045,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00008,CZ,ES,CONTROL,0.0,GOODS,P01,P12
DUTY-00009,CZ,PL,CONTROL,0.0,GOODS,P01,P12
DUTY-00010,CZ,RO,POWER_ELECTRONICS,0.0,GOODS,P01,P12
DUTY-00011,CZ,SE,CONTROL,0.0,GOODS,P01,P12
DUTY-00012,CZ,US,POWER_ELECTRONICS,0.025,GOODS,P01,P12
DUTY-00013,DE,CA,INSULATION,0.065,GOODS,P01,P12
DUTY-00014,DE,FR,INSULATION,0.0,GOODS,P01,P12
DUTY-00015,DE,GB,MAGNETIC,0.045,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00016,DE,IT,MOTION,0.0,GOODS,P01,P12
DUTY-00017,DE,KR,INSULATION,0.065,GOODS,P01,P12
DUTY-00018,DE,KR,MAGNETIC,0.045,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00019,DE,MY,MAGNETIC,0.045,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00020,DE,NL,SENSING,0.0,GOODS,P01,P12
DUTY-00021,DE,VN,MOTION,0.055,GOODS,P01,P12
DUTY-00022,ES,IT,HOUSING,0.0,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00023,ES,ZA,HOUSING,0.075,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00024,FR,JP,HOUSING,0.075,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00025,FR,PL,HOUSING,0.0,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00026,FR,RO,POWER_ELECTRONICS,0.0,GOODS,P01,P12
DUTY-00027,FR,US,POWER_ELECTRONICS,0.025,GOODS,P01,P12
DUTY-00028,GB,CZ,POWER_ELECTRONICS,0.025,GOODS,P01,P12
DUTY-00029,GB,DE,CONTROL,0.04,GOODS,P01,P12
DUTY-00030,GB,DE,HOUSING,0.075,GOODS_PLUS_FREIGHT,P01,P12
DUTY-00031,GB,DE,MAGNETIC,0.045,GOODS_PLUS_FREIGHT,P01,P12
