contract_id,approval_id,currency,incoterm_code,contract_handling_days,minimum_order_quantity,order_multiple,fixed_order_cost,horizon_activation_cost,payment_terms_days,effective_from_period,effective_to_period,active_flag
CTR-00001,APR-00001,USD,EXW,5,200.0,200.0,843.0518,1085.1228,30,P01,P12,true
CTR-00002,APR-00002,USD,EXW,1,250.0,250.0,171.4292,2519.6604,45,P01,P12,true
CTR-00003,APR-00003,USD,EXW,4,500.0,250.0,136.3487,2906.4018,60,P01,P12,true
CTR-00004,APR-00004,PLN,CPT,1,250.0,250.0,1609.7879,7129.3254,45,P01,P12,true
CTR-00005,APR-00005,PLN,EXW,4,600.0,200.0,1435.0016,7135.9982,60,P01,P12,true
CTR-00006,APR-00006,PLN,EXW,5,100.0,100.0,2095.8028,11913.1041,45,P01,P12,true
CTR-00007,APR-00007,RON,EXW,2,250.0,250.0,1346.6937,5122.9367,45,P01,P12,true
CTR-00008,APR-00008,RON,EXW,4,600.0,200.0,525.9909,11258.0247,30,P01,P12,true
CTR-00009,APR-00009,RON,EXW,5,200.0,200.0,2731.4711,13873.7245,45,P01,P12,true
CTR-00010,APR-00010,RON,EXW,4,250.0,250.0,3058.3765,12929.0319,30,P01,P12,true
CTR-00011,APR-00011,JPY,EXW,1,750.0,250.0,68276.8591,439793.0437,45,P01,P12,true
CTR-00012,APR-00012,JPY,CPT,4,200.0,200.0,81487.2209,98712.7195,60,P01,P12,true
CTR-00013,APR-00013,JPY,EXW,2,100.0,100.0,248231.4446,321079.9427,45,P01,P12,true
CTR-00014,APR-00014,EUR,DAP,2,750.0,250.0,238.2752,1257.6211,30,P01,P12,true
CTR-00015,APR-00015,EUR,EXW,5,750.0,250.0,5214.0043,2407.8238,60,P01,P12,true
CTR-00016,APR-00016,EUR,EXW,1,300.0,100.0,293.1641,2615.4587,45,P01,P12,true
CTR-00017,APR-00017,SEK,FCA,1,200.0,200.0,1010.3554,10926.4043,30,P01,P12,true
CTR-00018,APR-00018,SEK,CPT,1,600.0,200.0,3140.2454,13177.2292,60,P01,P12,true
CTR-00019,APR-00019,SEK,EXW,1,600.0,200.0,60711.9262,10285.7504,30,P01,P12,true
CTR-00020,APR-00020,KRW,FCA,5,200.0,100.0,559413.8759,2501762.2011,60,P01,P12,true
CTR-00021,APR-00021,KRW,EXW,5,600.0,200.0,324650.8944,3331328.0412,60,P01,P12,true
CTR-00022,APR-00022,KRW,EXW,2,200.0,200.0,625472.2521,3038808.5369,45,P01,P12,true
CTR-00023,APR-00023,GBP,FCA,2,300.0,100.0,184.756,1197.0481,60,P01,P12,true
CTR-00024,APR-00024,GBP,CPT,5,200.0,200.0,530.8093,568.5549,45,P01,P12,true
CTR-00025,APR-00025,GBP,FCA,5,300.0,100.0,411.4777,467.9958,30,P01,P12,true
CTR-00026,APR-00026,EUR,FCA,5,100.0,100.0,90.0,2744.1849,30,P01,P12,true
CTR-00027,APR-00027,EUR,DDP,4,750.0,250.0,521.9994,963.2452,30,P01,P12,true
CTR-00028,APR-00028,MYR,FCA,1,600.0,200.0,2120.8168,4834.8645,45,P01,P12,true
