node_id,recipe_id,period_id,currency,variable_conversion_cost_per_output,fixed_setup_cost,eligible_overhead_fixed,eligible_overhead_variable,markup_rate,markup_base_rule_id,scenario_sensitive_flag
NODE-0004,RCP-00001,P01,EUR,0.3,12.0,12.0,0.0,0.1,COST-0011,true
NODE-0004,RCP-00001,P02,EUR,0.3,12.0,12.0,0.0,0.1,COST-0011,true
NODE-0004,RCP-00001,P03,EUR,0.3,12.0,12.0,0.0,0.1,COST-0011,true
NODE-0004,RCP-00001,P04,EUR,0.3,12.0,12.0,0.0,0.1,COST-0011,true
NODE-0004,RCP-00001,P05,EUR,0.3,12.0,12.0,0.0,0.1,COST-0011,true
NODE-0005,RCP-00002,P01,EUR,0.4,30.0,0.0,0.0,0.1,COST-0011,true
NODE-0005,RCP-00002,P02,EUR,0.4,30.0,0.0,0.0,0.1,COST-0011,true
NODE-0005,RCP-00002,P03,EUR,0.4,30.0,0.0,0.0,0.1,COST-0011,true
NODE-0005,RCP-00002,P04,EUR,0.4,30.0,0.0,0.0,0.1,COST-0011,true
NODE-0005,RCP-00002,P05,EUR,0.4,30.0,0.0,0.0,0.1,COST-0011,true
NODE-0006,RCP-00003,P01,EUR,0.4,30.0,0.0,0.0,0.125,COST-0011,true
NODE-0006,RCP-00003,P02,EUR,0.4,30.0,0.0,0.0,0.125,COST-0011,true
NODE-0006,RCP-00003,P03,EUR,0.4,30.0,0.0,0.0,0.125,COST-0011,true
NODE-0006,RCP-00003,P04,EUR,0.4,30.0,0.0,0.0,0.125,COST-0011,true
NODE-0006,RCP-00003,P05,EUR,0.4,30.0,0.0,0.0,0.125,COST-0011,true
NODE-0007,RCP-00004,P01,EUR,0.62,20.0,0.0,0.0,0.1,COST-0011,true
NODE-0007,RCP-00004,P02,EUR,0.62,20.0,0.0,0.0,0.1,COST-0011,true
NODE-0007,RCP-00004,P03,EUR,0.62,20.0,0.0,0.0,0.1,COST-0011,true
NODE-0007,RCP-00004,P04,EUR,0.62,20.0,0.0,0.0,0.1,COST-0011,true
NODE-0007,RCP-00004,P05,EUR,0.62,20.0,0.0,0.0,0.1,COST-0011,true
NODE-0008,RCP-00005,P01,EUR,0.6,30.0,0.0,0.0,0.1,COST-0011,true
NODE-0008,RCP-00005,P02,EUR,0.6,30.0,0.0,0.0,0.1,COST-0011,true
NODE-0008,RCP-00005,P03,EUR,0.6,30.0,0.0,0.0,0.1,COST-0011,true
NODE-0008,RCP-00005,P04,EUR,0.6,30.0,0.0,0.0,0.1,COST-0011,true
NODE-0008,RCP-00005,P05,EUR,0.6,30.0,0.0,0.0,0.1,COST-0011,true
NODE-0009,RCP-00006,P01,EUR,1.5,18.0,0.0,0.1,0.1,COST-0011,true
NODE-0009,RCP-00006,P02,EUR,1.5,18.0,0.0,0.1,0.1,COST-0011,true
NODE-0009,RCP-00006,P03,EUR,1.5,18.0,0.0,0.1,0.1,COST-0011,true
NODE-0009,RCP-00006,P04,EUR,1.5,18.0,0.0,0.1,0.1,COST-0011,true
NODE-0009,RCP-00006,P05,EUR,1.5,18.0,0.0,0.1,0.1,COST-0011,true
NODE-0010,RCP-00007,P01,EUR,1.4,30.0,0.0,0.0,0.1,COST-0011,true
NODE-0010,RCP-00007,P02,EUR,1.4,30.0,0.0,0.0,0.1,COST-0011,true
NODE-0010,RCP-00007,P03,EUR,1.4,30.0,0.0,0.0,0.1,COST-0011,true
NODE-0010,RCP-00007,P04,EUR,1.4,30.0,0.0,0.0,0.1,COST-0011,true
NODE-0010,RCP-00007,P05,EUR,1.4,30.0,0.0,0.0,0.1,COST-0011,true
