contract_id,material_id,period_id,unit_price,currency,price_source,scenario_sensitive_flag
CTR-00001,MAT-0001,P01,4.0,EUR,SYNTHETIC_FIXED,true
CTR-00001,MAT-0001,P02,4.0,EUR,SYNTHETIC_FIXED,true
CTR-00001,MAT-0001,P03,4.0,EUR,SYNTHETIC_FIXED,true
CTR-00001,MAT-0001,P04,4.0,EUR,SYNTHETIC_FIXED,true
CTR-00001,MAT-0001,P05,4.0,EUR,SYNTHETIC_FIXED,true
CTR-00002,MAT-0001,P01,4.0,EUR,SYNTHETIC_FIXED,true
CTR-00002,MAT-0001,P02,4.0,EUR,SYNTHETIC_FIXED,true
CTR-00002,MAT-0001,P03,4.0,EUR,SYNTHETIC_FIXED,true
CTR-00002,MAT-0001,P04,4.0,EUR,SYNTHETIC_FIXED,true
CTR-00002,MAT-0001,P05,4.0,EUR,SYNTHETIC_FIXED,true
CTR-00003,MAT-0002,P01,2.0,EUR,SYNTHETIC_FIXED,true
CTR-00003,MAT-0002,P02,2.0,EUR,SYNTHETIC_FIXED,true
CTR-00003,MAT-0002,P03,2.0,EUR,SYNTHETIC_FIXED,true
CTR-00003,MAT-0002,P04,2.0,EUR,SYNTHETIC_FIXED,true
CTR-00003,MAT-0002,P05,2.0,EUR,SYNTHETIC_FIXED,true
CTR-00004,MAT-0002,P01,2.0,EUR,SYNTHETIC_FIXED,true
CTR-00004,MAT-0002,P02,2.0,EUR,SYNTHETIC_FIXED,true
CTR-00004,MAT-0002,P03,2.0,EUR,SYNTHETIC_FIXED,true
CTR-00004,MAT-0002,P04,2.0,EUR,SYNTHETIC_FIXED,true
CTR-00004,MAT-0002,P05,2.0,EUR,SYNTHETIC_FIXED,true
CTR-00005,MAT-0002,P01,3.0,EUR,SYNTHETIC_FIXED,true
CTR-00005,MAT-0002,P02,3.0,EUR,SYNTHETIC_FIXED,true
CTR-00005,MAT-0002,P03,3.0,EUR,SYNTHETIC_FIXED,true
CTR-00005,MAT-0002,P04,3.0,EUR,SYNTHETIC_FIXED,true
CTR-00005,MAT-0002,P05,3.0,EUR,SYNTHETIC_FIXED,true
CTR-00006,MAT-0002,P01,3.0,EUR,SYNTHETIC_FIXED,true
CTR-00006,MAT-0002,P02,3.0,EUR,SYNTHETIC_FIXED,true
CTR-00006,MAT-0002,P03,3.0,EUR,SYNTHETIC_FIXED,true
CTR-00006,MAT-0002,P04,3.0,EUR,SYNTHETIC_FIXED,true
CTR-00006,MAT-0002,P05,3.0,EUR,SYNTHETIC_FIXED,true
