duty_rule_id,origin_country_code,destination_country_code,material_family,duty_rate,customs_value_basis,effective_from_period,effective_to_period
DUTY-00001,FR,DE,METALS,0.0,GOODS,P01,P05
DUTY-00002,FR,NL,ELECTRONICS,0.0,GOODS,P01,P05
DUTY-00003,GB,NL,ELECTRONICS,0.02,GOODS,P01,P05
DUTY-00004,DE,DE,METALS,0.0,GOODS,P01,P05
DUTY-00005,DE,ES,METALS,0.0,GOODS,P01,P05
DUTY-00006,NL,DE,ELECTRONICS,0.0,GOODS,P01,P05
DUTY-00007,NL,ES,ELECTRONICS,0.0,GOODS,P01,P05
DUTY-00008,DE,DE,MODULES,0.0,GOODS,P01,P05
DUTY-00009,DE,PL,MODULES,0.0,GOODS,P01,P05
DUTY-00010,ES,PL,MODULES,0.0,GOODS,P01,P05
DUTY-00011,ES,ES,MODULES,0.0,GOODS,P01,P05
