approval_id,seller_node_id,buyer_node_id,material_id,approval_status,valid_from_period,valid_to_period,maximum_approved_share,qualification_score,notes
APR-00001,NODE-0001,NODE-0004,MAT-0001,APPROVED,P01,P01,,88.0,
APR-00002,NODE-0001,NODE-0005,MAT-0001,APPROVED,P01,P01,,86.0,
APR-00003,NODE-0002,NODE-0006,MAT-0002,APPROVED,P01,P01,,92.0,
APR-00004,NODE-0002,NODE-0008,MAT-0002,APPROVED,P01,P01,,89.0,
APR-00005,NODE-0003,NODE-0006,MAT-0002,APPROVED,P01,P01,0.6,84.0,
APR-00006,NODE-0003,NODE-0007,MAT-0002,APPROVED,P01,P01,,90.0,
APR-00007,NODE-0004,NODE-0009,MAT-0003,APPROVED,P02,P02,,93.0,
APR-00008,NODE-0005,NODE-0010,MAT-0003,APPROVED,P02,P02,,91.0,
APR-00009,NODE-0006,NODE-0009,MAT-0004,APPROVED,P02,P02,,95.0,
APR-00010,NODE-0007,NODE-0010,MAT-0004,APPROVED,P02,P02,,87.0,
APR-00011,NODE-0008,NODE-0010,MAT-0004,APPROVED,P02,P02,,88.0,
APR-00012,NODE-0009,NODE-0011,MAT-0005,APPROVED,P03,P03,,94.0,
APR-00013,NODE-0009,NODE-0012,MAT-0005,APPROVED,P03,P03,,92.0,
APR-00014,NODE-0010,NODE-0012,MAT-0005,APPROVED,P03,P03,,90.0,
APR-00015,NODE-0010,NODE-0013,MAT-0005,APPROVED,P03,P03,,96.0,
