node_id,supplier_id,node_name,node_type,node_tier,external_boundary_flag,processing_capability_flag,pooling_policy,country_code,region_code,latitude,longitude,timezone,local_currency,site_risk_score,active_flag
NODE-0001,SUP-0001,Calvette Copper Refinery,SUPPLIER_SITE,TIER_4,true,false,WEIGHTED_AVERAGE,FR,EU_WEST,49.24,4.03,Europe/Paris,EUR,18.0,true
NODE-0002,SUP-0003,Aurelia Wafer Foundry,SUPPLIER_SITE,TIER_4,true,false,WEIGHTED_AVERAGE,FR,EU_WEST,45.76,4.84,Europe/Paris,EUR,24.0,true
NODE-0003,SUP-0004,Borealis Crystal Works,SUPPLIER_SITE,TIER_4,true,false,WEIGHTED_AVERAGE,GB,UK,52.48,-1.9,Europe/London,GBP,33.0,true
NODE-0004,SUP-0001,Kestrel Busbar Mill,SUPPLIER_SITE,TIER_3,false,true,WEIGHTED_AVERAGE,DE,EU_WEST,50.11,8.68,Europe/Berlin,EUR,14.0,true
NODE-0005,SUP-0005,Halvard Strip Works,SUPPLIER_SITE,TIER_3,false,true,WEIGHTED_AVERAGE,DE,EU_WEST,51.05,13.74,Europe/Berlin,EUR,16.0,true
NODE-0006,SUP-0006,Meridian Die Screening,SUPPLIER_SITE,TIER_3,false,true,WEIGHTED_AVERAGE,NL,EU_WEST,51.44,5.48,Europe/Amsterdam,EUR,20.0,true
NODE-0007,SUP-0005,Halvard Die Finishing,SUPPLIER_SITE,TIER_3,false,true,WEIGHTED_AVERAGE,NL,EU_WEST,51.92,4.48,Europe/Amsterdam,EUR,21.0,true
NODE-0008,SUP-0006,Meridian Wafer Sort,SUPPLIER_SITE,TIER_3,false,true,WEIGHTED_AVERAGE,NL,EU_WEST,52.09,5.12,Europe/Amsterdam,EUR,19.0,true
NODE-0009,SUP-0007,Cassini Module Assembly,SUPPLIER_SITE,TIER_2,false,true,WEIGHTED_AVERAGE,DE,EU_WEST,48.78,9.18,Europe/Berlin,EUR,13.0,true
NODE-0010,SUP-0008,Lindwall Module Works,SUPPLIER_SITE,TIER_2,false,true,WEIGHTED_AVERAGE,ES,EU_SOUTH,41.65,-0.89,Europe/Madrid,EUR,17.0,true
NODE-0011,,Dortmund Plant,PLANT,PLANT,false,false,WEIGHTED_AVERAGE,DE,EU_WEST,51.51,7.47,Europe/Berlin,EUR,10.0,true
NODE-0012,,Katowice Plant,PLANT,PLANT,false,false,WEIGHTED_AVERAGE,PL,EU_EAST,50.26,19.02,Europe/Warsaw,PLN,15.0,true
NODE-0013,,Zaragoza Plant,PLANT,PLANT,false,false,WEIGHTED_AVERAGE,ES,EU_SOUTH,41.65,-0.89,Europe/Madrid,EUR,11.0,true
