lane_id,origin_node_id,destination_node_id,transport_mode,distance_km,base_transit_days,transit_std_days,weekly_capacity,freight_currency,variable_freight_cost_per_unit,fixed_shipment_cost,insurance_rate_pct_of_goods,reliability_score,expedited_flag,active_flag
LANE-00001,NODE-0001,NODE-0004,ROAD,620.0,3.0,0.5,60.0,EUR,0.2,0.0,0.0,96.0,false,true
LANE-00002,NODE-0001,NODE-0005,ROAD,780.0,3.0,0.5,40.0,EUR,0.2,0.0,0.0,95.0,false,true
LANE-00003,NODE-0002,NODE-0006,ROAD,910.0,3.0,0.5,80.0,EUR,0.2,0.0,0.0,94.0,false,true
LANE-00004,NODE-0002,NODE-0008,ROAD,980.0,3.0,0.5,30.0,EUR,0.2,0.0,0.0,93.0,false,true
LANE-00005,NODE-0003,NODE-0006,SEA,460.0,3.0,0.5,50.0,EUR,0.2,0.0,0.02,90.0,false,true
LANE-00006,NODE-0003,NODE-0007,SEA,480.0,3.0,0.5,50.0,EUR,0.2,0.0,0.0,91.0,false,true
LANE-00007,NODE-0004,NODE-0009,ROAD,260.0,3.0,0.5,60.0,EUR,0.0,8.0,0.0,97.0,false,true
LANE-00008,NODE-0005,NODE-0010,ROAD,1450.0,3.0,0.5,40.0,EUR,0.0,10.0,0.0,95.0,false,true
LANE-00009,NODE-0006,NODE-0009,ROAD,590.0,3.0,0.5,120.0,EUR,0.0,20.0,0.0,96.0,false,true
LANE-00010,NODE-0007,NODE-0010,ROAD,1680.0,3.0,0.5,40.0,EUR,0.0,12.0,0.0,92.0,false,true
LANE-00011,NODE-0008,NODE-0010,ROAD,1700.0,3.0,0.5,30.0,EUR,0.0,12.0,0.0,92.0,false,true
LANE-00012,NODE-0009,NODE-0011,ROAD,240.0,3.0,0.5,35.0,EUR,0.0,25.0,0.0,97.0,false,true
LANE-00013,NODE-0009,NODE-0012,ROAD,610.0,3.0,0.5,25.0,EUR,0.0,20.0,0.0,94.0,false,true
LANE-00014,NODE-0010,NODE-0012,ROAD,1350.0,3.0,0.5,15.0,EUR,0.0,18.0,0.0,93.0,false,true
LANE-00015,NODE-0010,NODE-0013,ROAD,330.0,3.0,0.5,20.0,EUR,0.0,20.0,0.0,96.0,false,true
