node_id,material_id,period_id,regular_capacity,surge_capacity,surge_unit_premium,planned_downtime_fraction,minimum_supply_quantity
NODE-0001,MAT-0001,P01,100.0,0.0,0.0,0.0,100.0
NODE-0001,MAT-0001,P02,0.0,0.0,0.0,0.0,0.0
NODE-0001,MAT-0001,P03,0.0,0.0,0.0,0.0,0.0
NODE-0001,MAT-0001,P04,0.0,0.0,0.0,0.0,0.0
NODE-0001,MAT-0001,P05,0.0,0.0,0.0,0.0,0.0
NODE-0002,MAT-0002,P01,110.0,0.0,0.0,0.0,110.0
NODE-0002,MAT-0002,P02,0.0,0.0,0.0,0.0,0.0
NODE-0002,MAT-0002,P03,0.0,0.0,0.0,0.0,0.0
NODE-0002,MAT-0002,P04,0.0,0.0,0.0,0.0,0.0
NODE-0002,MAT-0002,P05,0.0,0.0,0.0,0.0,0.0
NODE-0003,MAT-0002,P01,100.0,0.0,0.0,0.0,100.0
NODE-0003,MAT-0002,P02,0.0,0.0,0.0,0.0,0.0
NODE-0003,MAT-0002,P03,0.0,0.0,0.0,0.0,0.0
NODE-0003,MAT-0002,P04,0.0,0.0,0.0,0.0,0.0
NODE-0003,MAT-0002,P05,0.0,0.0,0.0,0.0,0.0
