plant_id,material_id,period_id,demand_quantity_units,served_quantity_units,served_value_eur,unit_cost_eur_per_unit,closing_quantity_units,closing_value_eur
NODE-0011,MAT-0005,P01,0.0,0.0,0.0,24.6,10.0,246.0
NODE-0011,MAT-0005,P02,0.0,0.0,0.0,24.6,10.0,246.0
NODE-0011,MAT-0005,P03,0.0,0.0,0.0,24.6,10.0,246.0
NODE-0011,MAT-0005,P04,30.0,30.0,603.0,20.1,15.0,301.5
NODE-0011,MAT-0005,P05,10.0,10.0,201.0,20.1,5.0,100.5
NODE-0012,MAT-0005,P01,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0012,MAT-0005,P02,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0012,MAT-0005,P03,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0012,MAT-0005,P04,30.0,30.0,620.25,20.675,10.0,206.75
NODE-0012,MAT-0005,P05,10.0,10.0,206.75,20.675,0.0,0.0
NODE-0013,MAT-0005,P01,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0013,MAT-0005,P02,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0013,MAT-0005,P03,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0013,MAT-0005,P04,12.0,12.0,265.2,22.1,8.0,176.8
NODE-0013,MAT-0005,P05,8.0,8.0,176.8,22.1,0.0,0.0
