node_id,material_id,period_id,opening_quantity_units,opening_value_eur,receipt_value_eur,production_value_eur,pool_quantity_units,pool_value_eur,pool_unit_cost_eur_per_unit,outflow_value_eur,closing_quantity_units,closing_value_eur
NODE-0001,MAT-0001,P01,0.0,0.0,400.0,0,100.0,400.0,4.0,400.0,0.0,0.0
NODE-0001,MAT-0001,P02,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0001,MAT-0001,P03,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0001,MAT-0001,P04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0001,MAT-0001,P05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0002,MAT-0002,P01,0.0,0.0,220.0,0,110.0,220.0,2.0,220.0,0.0,0.0
NODE-0002,MAT-0002,P02,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0002,MAT-0002,P03,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0002,MAT-0002,P04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0002,MAT-0002,P05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0003,MAT-0002,P01,0.0,0.0,300.0,0,100.0,300.0,3.0,300.0,0.0,0.0
NODE-0003,MAT-0002,P02,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0003,MAT-0002,P03,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0003,MAT-0002,P04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0003,MAT-0002,P05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0004,MAT-0001,P01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0004,MAT-0001,P02,0.0,0.0,258.0,0,60.0,258.0,4.3,258.0,0.0,0.0
NODE-0004,MAT-0001,P03,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0004,MAT-0001,P04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0004,MAT-0001,P05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0004,MAT-0003,P01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0004,MAT-0003,P02,0.0,0.0,0.0,330.0,60.0,330.0,5.5,330.0,0.0,0.0
NODE-0004,MAT-0003,P03,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0004,MAT-0003,P04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0004,MAT-0003,P05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0005,MAT-0001,P01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0005,MAT-0001,P02,0.0,0.0,174.0,0,40.0,174.0,4.35,174.0,0.0,0.0
NODE-0005,MAT-0001,P03,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0005,MAT-0001,P04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0005,MAT-0001,P05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0005,MAT-0003,P01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0005,MAT-0003,P02,0.0,0.0,0.0,242.0,40.0,242.0,6.05,242.0,0.0,0.0
NODE-0005,MAT-0003,P03,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0005,MAT-0003,P04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0005,MAT-0003,P05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0006,MAT-0002,P01,20.0,48.0,0.0,0,20.0,48.0,2.4,0.0,20.0,48.0
NODE-0006,MAT-0002,P02,20.0,48.0,354.0,0,150.0,402.0,2.68,402.0,0.0,0.0
NODE-0006,MAT-0002,P03,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0006,MAT-0002,P04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0006,MAT-0002,P05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0006,MAT-0004,P01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0006,MAT-0004,P02,0.0,0.0,0.0,540.0,120.0,540.0,4.5,540.0,0.0,0.0
NODE-0006,MAT-0004,P03,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0006,MAT-0004,P04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0006,MAT-0004,P05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0007,MAT-0002,P01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0007,MAT-0002,P02,0.0,0.0,169.0,0,50.0,169.0,3.38,135.2,10.0,33.8
NODE-0007,MAT-0002,P03,10.0,33.8,0.0,0,10.0,33.8,3.38,0.0,10.0,33.8
NODE-0007,MAT-0002,P04,10.0,33.8,0.0,0,10.0,33.8,3.38,0.0,10.0,33.8
NODE-0007,MAT-0002,P05,10.0,33.8,0.0,0,10.0,33.8,3.38,0.0,10.0,33.8
NODE-0007,MAT-0004,P01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0007,MAT-0004,P02,0.0,0.0,0.0,198.0,40.0,198.0,4.95,198.0,0.0,0.0
NODE-0007,MAT-0004,P03,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0007,MAT-0004,P04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0007,MAT-0004,P05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0008,MAT-0002,P01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0008,MAT-0002,P02,0.0,0.0,72.0,0,30.0,72.0,2.4,72.0,0.0,0.0
NODE-0008,MAT-0002,P03,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0008,MAT-0002,P04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0008,MAT-0002,P05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0008,MAT-0004,P01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0008,MAT-0004,P02,0.0,0.0,0.0,132.0,30.0,132.0,4.4,132.0,0.0,0.0
NODE-0008,MAT-0004,P03,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0008,MAT-0004,P04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0008,MAT-0004,P05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0009,MAT-0003,P01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0009,MAT-0003,P02,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0009,MAT-0003,P03,0.0,0.0,342.0,0,60.0,342.0,5.7,342.0,0.0,0.0
NODE-0009,MAT-0003,P04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0009,MAT-0003,P05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0009,MAT-0004,P01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0009,MAT-0004,P02,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0009,MAT-0004,P03,0.0,0.0,564.0,0,120.0,564.0,4.7,564.0,0.0,0.0
NODE-0009,MAT-0004,P04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0009,MAT-0004,P05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0009,MAT-0005,P01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0009,MAT-0005,P02,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0009,MAT-0005,P03,0.0,0.0,0.0,1122.0,60.0,1122.0,18.7,1122.0,0.0,0.0
NODE-0009,MAT-0005,P04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0009,MAT-0005,P05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
NODE-0010,MAT-0003,P01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
