node_id,supplier_id,node_name,node_type,node_tier,external_boundary_flag,processing_capability_flag,pooling_policy,country_code,region_code,latitude,longitude,timezone,local_currency,site_risk_score,active_flag
NODE-0001,SUP-0001,Northstar Material Systems Site 01,SUPPLIER_SITE,TIER_4,true,false,WEIGHTED_AVERAGE,US,AMERICAS_NORTH,41.71608,-87.61968,America/Chicago,USD,25.2,true
NODE-0002,SUP-0002,Bluehaven Industrial Group Site 02,SUPPLIER_SITE,TIER_4,true,false,WEIGHTED_AVERAGE,PL,EUROPE_CENTRAL,50.59009,18.72402,Europe/Warsaw,PLN,50.6,true
NODE-0003,SUP-0003,Redwood Technical Materials Site 03,SUPPLIER_SITE,TIER_4,true,false,WEIGHTED_AVERAGE,RO,EUROPE_EAST,45.94488,21.18247,Europe/Bucharest,RON,61.1,true
NODE-0004,SUP-0004,Vantage Component Holdings Site 04,SUPPLIER_SITE,TIER_4,true,false,WEIGHTED_AVERAGE,JP,ASIA_EAST,35.74144,139.44853,Asia/Tokyo,JPY,52.0,true
NODE-0005,SUP-0005,Silverline Process Industries Site 05,SUPPLIER_SITE,TIER_4,true,false,WEIGHTED_AVERAGE,DE,EUROPE_CENTRAL,52.03294,7.46625,Europe/Berlin,EUR,46.1,true
NODE-0006,SUP-0006,Harbourlight Engineered Products Site 06,SUPPLIER_SITE,TIER_4,true,false,WEIGHTED_AVERAGE,SE,EUROPE_NORTH,57.56227,12.32858,Europe/Stockholm,SEK,55.8,true
NODE-0007,SUP-0007,Juniper Motion Materials Site 07,SUPPLIER_SITE,TIER_4,true,false,WEIGHTED_AVERAGE,KR,ASIA_EAST,37.31522,126.52981,Asia/Seoul,KRW,59.0,true
NODE-0008,SUP-0008,Stonebridge Control Components Site 08,SUPPLIER_SITE,TIER_4,true,false,WEIGHTED_AVERAGE,GB,EUROPE_WEST,51.80872,-1.95542,Europe/London,GBP,18.1,true
NODE-0009,SUP-0009,Cobalt Ridge Manufacturing Site 09,SUPPLIER_SITE,TIER_4,true,false,WEIGHTED_AVERAGE,NL,EUROPE_WEST,51.34673,4.11627,Europe/Amsterdam,EUR,38.4,true
NODE-0010,SUP-0010,Meridian Electromechanical Site 10,SUPPLIER_SITE,TIER_4,true,false,WEIGHTED_AVERAGE,MY,ASIA_SOUTHEAST,3.52395,101.72075,Asia/Kuala_Lumpur,MYR,22.0,true
NODE-0011,SUP-0011,Pioneer Insulation Systems Site 11,SUPPLIER_SITE,TIER_4,true,false,WEIGHTED_AVERAGE,ZA,AFRICA_SOUTH,-25.55383,28.51925,Africa/Johannesburg,ZAR,56.0,true
NODE-0012,SUP-0012,Clearwater Connector Works Site 12,SUPPLIER_SITE,TIER_4,true,false,WEIGHTED_AVERAGE,IT,EUROPE_SOUTH,45.71386,9.50348,Europe/Rome,EUR,56.8,true
NODE-0013,SUP-0013,Ironvale Precision Materials Site 13,SUPPLIER_SITE,TIER_3,false,true,WEIGHTED_AVERAGE,VN,ASIA_SOUTHEAST,10.35154,106.28577,Asia/Ho_Chi_Minh,VND,80.3,true
NODE-0014,SUP-0014,Westmere Industrial Ceramics Site 14,SUPPLIER_SITE,TIER_3,false,true,WEIGHTED_AVERAGE,BR,AMERICAS_SOUTH,-23.3514,-46.15524,America/Sao_Paulo,BRL,28.3,true
NODE-0015,SUP-0015,Aster Peak Semiconductor Materials Site 15,SUPPLIER_SITE,TIER_3,false,true,WEIGHTED_AVERAGE,CZ,EUROPE_CENTRAL,49.01159,17.0804,Europe/Prague,CZK,52.9,true
NODE-0016,SUP-0016,Orchard Gate Alloy Products Site 16,SUPPLIER_SITE,TIER_3,false,true,WEIGHTED_AVERAGE,IN,ASIA_SOUTH,18.96701,72.92876,Asia/Kolkata,INR,58.0,true
NODE-0017,SUP-0017,Beacon Field Sensor Materials Site 17,SUPPLIER_SITE,TIER_3,false,true,WEIGHTED_AVERAGE,CA,AMERICAS_NORTH,44.06106,-78.88238,America/Toronto,CAD,53.4,true
NODE-0018,SUP-0018,Summit Arc Technical Products Site 18,SUPPLIER_SITE,TIER_3,false,true,WEIGHTED_AVERAGE,FR,EUROPE_WEST,45.57719,5.45905,Europe/Paris,EUR,62.0,true
NODE-0019,SUP-0019,Copperleaf Industrial Supply Site 19,SUPPLIER_SITE,TIER_3,false,true,WEIGHTED_AVERAGE,MA,AFRICA_NORTH,33.33646,-7.79815,Africa/Casablanca,MAD,42.9,true
NODE-0020,SUP-0020,Granite Bay Motion Systems Site 20,SUPPLIER_SITE,TIER_3,false,true,WEIGHTED_AVERAGE,MX,AMERICAS_NORTH,21.07725,-103.51243,America/Mexico_City,MXN,26.9,true
NODE-0021,SUP-0021,Highland Circuit Materials Site 21,SUPPLIER_SITE,TIER_2,false,true,WEIGHTED_AVERAGE,ES,EUROPE_SOUTH,41.90634,-0.90097,Europe/Madrid,EUR,65.2,true
NODE-0022,SUP-0022,Riverbend Engineered Supply Site 22,SUPPLIER_SITE,TIER_2,false,true,WEIGHTED_AVERAGE,TR,EUROPE_SOUTH,40.77385,29.4501,Europe/Istanbul,TRY,58.3,true
NODE-0023,SUP-0001,Northstar Material Systems Site 23,SUPPLIER_SITE,TIER_2,false,true,WEIGHTED_AVERAGE,US,AMERICAS_NORTH,41.98828,-87.03883,America/Chicago,USD,61.0,true
NODE-0024,SUP-0002,Bluehaven Industrial Group Site 24,SUPPLIER_SITE,TIER_2,false,true,WEIGHTED_AVERAGE,PL,EUROPE_CENTRAL,50.79896,19.64061,Europe/Warsaw,PLN,73.6,true
NODE-0025,SUP-0003,Redwood Technical Materials Site 25,SUPPLIER_SITE,TIER_2,false,true,WEIGHTED_AVERAGE,RO,EUROPE_EAST,46.01919,21.34412,Europe/Bucharest,RON,70.3,true
NODE-0026,SUP-0004,Vantage Component Holdings Site 26,SUPPLIER_SITE,TIER_2,false,true,WEIGHTED_AVERAGE,JP,ASIA_EAST,36.10176,140.26769,Asia/Tokyo,JPY,36.1,true
NODE-0027,SUP-0005,Silverline Process Industries Site 27,SUPPLIER_SITE,TIER_2,false,true,WEIGHTED_AVERAGE,DE,EUROPE_CENTRAL,50.87883,7.68594,Europe/Berlin,EUR,75.3,true
NODE-0028,SUP-0006,Harbourlight Engineered Products Site 28,SUPPLIER_SITE,TIER_2,false,true,WEIGHTED_AVERAGE,SE,EUROPE_NORTH,57.18692,12.53159,Europe/Stockholm,SEK,23.3,true
NODE-0029,SUP-0007,Juniper Motion Materials Site 29,SUPPLIER_SITE,TIER_1,false,true,WEIGHTED_AVERAGE,KR,ASIA_EAST,38.06257,126.80549,Asia/Seoul,KRW,34.3,true
NODE-0030,SUP-0008,Stonebridge Control Components Site 30,SUPPLIER_SITE,TIER_1,false,true,WEIGHTED_AVERAGE,GB,EUROPE_WEST,52.8106,-1.99201,Europe/London,GBP,55.5,true
NODE-0031,SUP-0009,Cobalt Ridge Manufacturing Site 31,SUPPLIER_SITE,TIER_1,false,true,WEIGHTED_AVERAGE,NL,EUROPE_WEST,52.61233,4.59532,Europe/Amsterdam,EUR,75.1,true
