lane_id,origin_node_id,destination_node_id,transport_mode,distance_km,base_transit_days,transit_std_days,weekly_capacity,freight_currency,variable_freight_cost_per_unit,fixed_shipment_cost,insurance_rate_pct_of_goods,reliability_score,expedited_flag,active_flag
LANE-00001,NODE-0001,NODE-0013,SEA,15739.8,39.48,4.28,5011.76,EUR,2.5584,1250.89,0.00297,92.7,false,true
LANE-00002,NODE-0001,NODE-0020,RAIL,3064.3,8.13,1.26,3694.2,EUR,1.4189,437.25,0.00558,78.7,false,true
LANE-00003,NODE-0002,NODE-0013,SEA,10022.8,28.05,2.72,3210.05,EUR,1.6436,1050.8,0.00516,80.1,false,true
LANE-00004,NODE-0002,NODE-0014,SEA,11628.3,31.26,6.27,3299.19,EUR,1.9005,1106.99,0.00342,87.1,false,true
LANE-00005,NODE-0003,NODE-0014,SEA,11486.0,30.97,6.51,4180.54,EUR,1.8778,1102.01,0.00832,93.8,false,true
LANE-00006,NODE-0003,NODE-0015,ROAD,514.7,1.79,0.29,3259.56,EUR,0.4003,178.01,0.00329,90.5,false,true
LANE-00007,NODE-0003,NODE-0016,SEA,6246.0,20.49,1.66,3225.72,EUR,1.0394,918.61,0.00349,82.0,false,true
LANE-00008,NODE-0004,NODE-0013,SEA,4899.8,17.8,1.92,4805.66,EUR,0.824,871.49,0.00642,83.2,false,true
LANE-00009,NODE-0004,NODE-0015,SEA,10091.4,28.18,3.85,3878.29,EUR,1.6546,1053.2,0.00454,85.4,false,true
LANE-00010,NODE-0004,NODE-0016,SEA,7507.8,23.02,2.99,5059.46,EUR,1.2412,962.77,0.00598,91.7,false,true
LANE-00011,NODE-0005,NODE-0013,SEA,10859.6,29.72,4.31,4817.44,EUR,1.7775,1080.09,0.00347,92.7,false,true
LANE-00012,NODE-0005,NODE-0017,SEA,6825.0,21.65,2.17,3964.13,EUR,1.132,938.87,0.00796,80.0,false,true
LANE-00013,NODE-0005,NODE-0018,ROAD,820.6,2.26,0.24,3374.29,EUR,0.6144,188.72,0.00249,88.6,false,true
LANE-00014,NODE-0006,NODE-0013,SEA,10384.4,28.77,2.52,3175.89,EUR,1.7015,1063.45,0.00204,86.8,false,true
LANE-00015,NODE-0006,NODE-0017,SEA,6804.2,21.61,4.82,3446.3,EUR,1.1287,938.15,0.00568,90.2,false,true
LANE-00016,NODE-0006,NODE-0018,RAIL,1582.6,5.17,1.0,4693.45,EUR,0.7521,385.39,0.0031,91.7,false,true
LANE-00017,NODE-0007,NODE-0014,SEA,20510.1,49.02,4.52,4321.95,EUR,3.3216,1417.85,0.00373,87.8,false,true
LANE-00018,NODE-0007,NODE-0019,SEA,12147.0,32.29,2.71,3473.98,EUR,1.9835,1125.15,0.00801,88.6,false,true
LANE-00019,NODE-0007,NODE-0020,SEA,13074.9,34.15,6.2,4488.59,EUR,2.132,1157.62,0.00303,91.3,false,true
LANE-00020,NODE-0008,NODE-0015,RAIL,1545.6,5.09,0.89,4908.58,EUR,0.7355,384.1,0.00299,93.5,false,true
LANE-00021,NODE-0008,NODE-0019,SEA,2360.2,12.72,2.23,3957.38,EUR,0.4176,782.61,0.00795,91.1,false,true
LANE-00022,NODE-0008,NODE-0020,SEA,10010.7,28.02,3.97,3580.93,EUR,1.6417,1050.38,0.00235,84.1,false,true
LANE-00023,NODE-0009,NODE-0016,SEA,7738.8,23.48,4.01,3324.1,EUR,1.2782,970.86,0.00831,89.4,false,true
LANE-00024,NODE-0009,NODE-0017,SEA,6636.4,21.27,4.53,4030.71,EUR,1.1018,932.27,0.00259,80.1,false,true
LANE-00025,NODE-0010,NODE-0014,SEA,17830.2,43.66,8.56,3672.7,EUR,2.8928,1324.06,0.00455,81.4,false,true
LANE-00026,NODE-0010,NODE-0017,SEA,16490.4,40.98,7.93,5032.58,EUR,2.6785,1277.16,0.0074,92.3,false,true
LANE-00027,NODE-0011,NODE-0013,SEA,10418.0,28.84,6.35,3608.04,EUR,1.7069,1064.63,0.00669,84.5,false,true
LANE-00028,NODE-0011,NODE-0018,SEA,9235.8,26.47,2.44,3944.57,EUR,1.5177,1023.25,0.00668,86.0,false,true
LANE-00029,NODE-0011,NODE-0019,SEA,8502.0,25.0,4.28,5016.02,EUR,1.4003,997.57,0.00397,83.2,false,true
LANE-00030,NODE-0012,NODE-0019,SEA,2257.7,12.52,2.85,3913.68,EUR,0.4012,779.02,0.00277,85.3,false,true
LANE-00031,NODE-0013,NODE-0022,SEA,9131.3,26.26,2.65,548.14,EUR,7.6485,1019.59,0.00321,86.0,false,true
LANE-00032,NODE-0013,NODE-0024,SEA,9948.7,27.9,5.52,700.71,EUR,8.2615,1048.2,0.00212,90.9,false,true
LANE-00033,NODE-0013,NODE-0026,SEA,4993.7,17.99,2.59,711.3,EUR,4.5452,874.78,0.00517,87.9,false,true
LANE-00034,NODE-0013,NODE-0027,SEA,10875.9,29.75,3.31,633.63,EUR,8.9569,1080.66,0.00486,86.1,false,true
LANE-00035,NODE-0014,NODE-0023,SEA,9399.9,26.8,5.82,608.66,EUR,7.8499,1028.99,0.0023,88.7,false,true
LANE-00036,NODE-0014,NODE-0024,SEA,11703.0,31.41,3.02,595.7,EUR,9.5773,1109.61,0.00644,90.5,false,true
LANE-00037,NODE-0014,NODE-0027,SEA,10963.8,29.93,3.17,617.62,EUR,9.0228,1083.73,0.00365,81.0,false,true
LANE-00038,NODE-0015,NODE-0021,RAIL,1796.4,5.59,0.93,753.94,EUR,4.0335,392.87,0.00491,83.7,false,true
LANE-00039,NODE-0015,NODE-0023,SEA,8380.4,24.76,4.94,532.29,EUR,7.0853,993.31,0.00432,93.8,false,true
LANE-00040,NODE-0015,NODE-0024,ROAD,302.8,1.47,0.34,729.92,EUR,1.557,170.6,0.00443,80.5,false,true
LANE-00041,NODE-0015,NODE-0025,ROAD,517.0,1.8,0.3,761.05,EUR,2.0926,178.1,0.008,82.4,false,true
LANE-00042,NODE-0015,NODE-0028,ROAD,1072.9,2.65,0.4,659.49,EUR,3.4822,197.55,0.00756,90.7,false,true
LANE-00043,NODE-0016,NODE-0023,SEA,14483.0,36.97,6.1,528.39,EUR,11.6622,1206.9,0.00645,88.0,false,true
LANE-00044,NODE-0016,NODE-0024,SEA,6534.4,21.07,1.7,634.36,EUR,5.7008,928.71,0.00846,86.6,false,true
LANE-00045,NODE-0016,NODE-0028,SEA,7253.5,22.51,4.0,759.88,EUR,6.2401,953.87,0.00727,88.0,false,true
LANE-00046,NODE-0017,NODE-0024,SEA,7704.2,23.41,2.31,801.85,EUR,6.5782,969.65,0.00203,82.8,false,true
LANE-00047,NODE-0017,NODE-0027,SEA,6909.7,21.82,4.19,687.35,EUR,5.9823,941.84,0.00706,88.6,false,true
LANE-00048,NODE-0018,NODE-0023,SEA,7837.0,23.67,5.09,663.25,EUR,6.6777,974.29,0.00376,93.8,false,true
LANE-00049,NODE-0018,NODE-0024,ROAD,1342.0,3.06,0.4,811.35,EUR,4.1549,206.97,0.00602,93.5,false,true
LANE-00050,NODE-0018,NODE-0025,ROAD,1378.1,3.12,0.62,672.51,EUR,4.2451,208.23,0.00511,88.5,false,true
LANE-00051,NODE-0018,NODE-0026,SEA,11049.6,30.1,4.47,630.52,EUR,9.0872,1086.74,0.00723,81.4,false,true
LANE-00052,NODE-0019,NODE-0024,SEA,3307.0,14.61,1.21,624.21,EUR,3.2803,815.75,0.00747,90.3,false,true
LANE-00053,NODE-0019,NODE-0027,SEA,2599.7,13.2,1.66,599.28,EUR,2.7498,790.99,0.00656,90.4,false,true
LANE-00054,NODE-0019,NODE-0028,SEA,3434.2,14.87,2.32,760.99,EUR,3.3756,820.2,0.0032,80.0,false,true
LANE-00055,NODE-0020,NODE-0024,SEA,11521.4,31.04,4.11,493.31,EUR,9.441,1103.25,0.00591,81.4,false,true
LANE-00056,NODE-0020,NODE-0026,SEA,12075.4,32.15,5.69,675.2,EUR,9.8565,1122.64,0.00899,84.5,false,true
LANE-00057,NODE-0020,NODE-0027,SEA,10736.4,29.47,6.17,573.87,EUR,8.8523,1075.77,0.00502,85.6,false,true
LANE-00058,NODE-0020,NODE-0028,SEA,10635.3,29.27,7.02,769.86,EUR,8.7765,1072.24,0.00545,93.4,false,true
LANE-00059,NODE-0021,NODE-0033,SEA,9103.2,26.21,5.47,692.51,EUR,7.6274,1018.61,0.00683,78.2,false,true
LANE-00060,NODE-0021,NODE-0034,ROAD,953.6,2.47,0.46,605.4,EUR,3.184,193.38,0.0054,83.0,false,true
LANE-00061,NODE-0022,NODE-0029,SEA,8836.7,25.67,5.88,756.88,EUR,7.4275,1009.28,0.00738,87.8,false,true
LANE-00062,NODE-0023,NODE-0029,SEA,11734.2,31.47,2.93,626.35,EUR,9.6006,1110.7,0.00517,89.3,false,true
LANE-00063,NODE-0023,NODE-0030,SEA,6865.7,21.73,2.19,793.98,EUR,5.9493,940.3,0.00204,79.7,false,true
LANE-00064,NODE-0023,NODE-0031,SEA,7317.6,22.64,5.11,755.92,EUR,6.2882,956.11,0.00827,93.2,false,true
LANE-00065,NODE-0024,NODE-0029,SEA,8802.0,25.6,5.63,680.93,EUR,7.4015,1008.07,0.00781,90.7,false,true
LANE-00066,NODE-0024,NODE-0031,ROAD,1180.6,2.82,0.64,615.18,EUR,3.7515,201.32,0.00373,86.7,false,true
LANE-00067,NODE-0024,NODE-0032,SEA,10320.9,28.64,4.75,562.56,EUR,8.5407,1061.23,0.00269,89.3,false,true
LANE-00068,NODE-0024,NODE-0033,SEA,9627.4,27.25,2.24,710.46,EUR,8.0205,1036.96,0.00797,83.1,false,true
LANE-00069,NODE-0025,NODE-0029,SEA,9050.2,26.1,2.52,768.04,EUR,7.5876,1016.76,0.00719,81.7,false,true
LANE-00070,NODE-0025,NODE-0031,RAIL,1582.8,5.17,0.52,689.89,EUR,3.649,385.4,0.00378,91.7,false,true
LANE-00071,NODE-0026,NODE-0030,SEA,10614.2,29.23,5.57,698.28,EUR,8.7606,1071.5,0.00571,90.6,false,true
LANE-00072,NODE-0026,NODE-0033,SEA,15239.8,38.48,7.61,740.18,EUR,12.2299,1233.39,0.00733,92.7,false,true
LANE-00073,NODE-0027,NODE-0029,SEA,9504.4,27.01,4.6,686.02,EUR,7.9283,1032.65,0.00369,88.2,false,true
LANE-00074,NODE-0027,NODE-0030,ROAD,781.8,2.2,0.27,596.85,EUR,2.7545,187.36,0.00378,86.1,false,true
LANE-00075,NODE-0027,NODE-0031,ROAD,321.5,1.49,0.36,788.13,EUR,1.6038,171.25,0.00546,83.6,false,true
LANE-00076,NODE-0027,NODE-0032,SEA,11260.1,30.52,2.61,669.11,EUR,9.2451,1094.1,0.00403,81.5,false,true
LANE-00077,NODE-0027,NODE-0034,ROAD,706.8,2.09,0.2,701.87,EUR,2.567,184.74,0.00528,91.0,false,true
LANE-00078,NODE-0028,NODE-0029,SEA,8712.1,25.42,2.46,573.59,EUR,7.3341,1004.92,0.00842,83.4,false,true
LANE-00079,NODE-0028,NODE-0030,ROAD,1168.7,2.8,0.5,800.2,EUR,3.7217,200.9,0.00846,82.0,false,true
LANE-00080,NODE-0028,NODE-0032,SEA,10871.8,29.74,2.44,707.56,EUR,8.9538,1080.51,0.00332,90.2,false,true
LANE-00081,NODE-0029,NODE-0035,SEA,9849.6,27.7,4.65,509.27,EUR,8.1872,1044.74,0.00319,87.5,false,true
LANE-00082,NODE-0029,NODE-0036,SEA,9460.7,26.92,5.35,695.77,EUR,7.8955,1031.12,0.00314,88.4,false,true
LANE-00083,NODE-0029,NODE-0037,SEA,8881.1,25.76,2.08,619.72,EUR,7.4609,1010.84,0.00318,89.4,false,true
LANE-00084,NODE-0029,NODE-0038,SEA,10851.6,29.7,6.78,760.62,EUR,8.9387,1079.81,0.00621,85.8,false,true
LANE-00085,NODE-0030,NODE-0035,ROAD,41.1,1.06,0.24,739.3,EUR,0.9028,161.44,0.005,85.2,false,true
LANE-00086,NODE-0030,NODE-0036,ROAD,739.7,2.14,0.21,601.94,EUR,2.6494,185.89,0.00564,93.5,false,true
LANE-00087,NODE-0030,NODE-0037,RAIL,1652.3,5.3,0.46,634.26,EUR,3.7741,387.83,0.00486,89.0,false,true
LANE-00088,NODE-0030,NODE-0038,ROAD,1393.2,3.14,0.72,798.04,EUR,4.2829,208.76,0.0021,93.0,false,true
LANE-00089,NODE-0031,NODE-0035,ROAD,491.2,1.76,0.32,532.98,EUR,2.0281,177.19,0.00538,89.7,false,true
LANE-00090,NODE-0031,NODE-0036,ROAD,258.8,1.4,0.29,733.78,EUR,1.4471,169.06,0.00675,87.8,false,true
LANE-00091,NODE-0031,NODE-0037,ROAD,1155.4,2.78,0.37,535.88,EUR,3.6886,200.44,0.00395,86.9,false,true
LANE-00092,NODE-0031,NODE-0038,RAIL,1441.2,4.88,0.56,649.93,EUR,3.3942,380.44,0.0061,89.9,false,true
LANE-00093,NODE-0032,NODE-0035,SEA,11962.5,31.92,6.85,541.68,EUR,9.7719,1118.69,0.00476,82.2,false,true
LANE-00094,NODE-0032,NODE-0036,SEA,11270.9,30.54,4.41,709.48,EUR,9.2532,1094.48,0.0089,80.0,false,true
LANE-00095,NODE-0032,NODE-0037,SEA,10364.3,28.73,4.17,650.23,EUR,8.5732,1062.75,0.00414,79.7,false,true
LANE-00096,NODE-0032,NODE-0038,SEA,12140.3,32.28,4.66,698.32,EUR,9.9052,1124.91,0.00894,78.8,false,true
LANE-00097,NODE-0033,NODE-0035,SEA,10317.5,28.63,5.35,762.0,EUR,8.5381,1061.11,0.00331,81.4,false,true
LANE-00098,NODE-0033,NODE-0036,SEA,9929.6,27.86,6.28,708.15,EUR,8.2472,1047.53,0.00363,81.9,false,true
LANE-00099,NODE-0033,NODE-0037,SEA,9568.2,27.14,5.99,780.24,EUR,7.9762,1034.89,0.0039,83.7,false,true
LANE-00100,NODE-0033,NODE-0038,SEA,9074.1,26.15,5.58,601.92,EUR,7.6056,1017.59,0.00785,80.7,false,true
LANE-00101,NODE-0034,NODE-0035,ROAD,1245.4,2.92,0.37,794.15,EUR,3.9135,203.59,0.00782,87.4,false,true
LANE-00102,NODE-0034,NODE-0036,ROAD,787.4,2.21,0.43,797.62,EUR,2.7684,187.56,0.00243,78.8,false,true
LANE-00103,NODE-0034,NODE-0037,ROAD,1070.8,2.65,0.42,646.35,EUR,3.477,197.48,0.00486,84.5,false,true
LANE-00104,NODE-0034,NODE-0038,ROAD,968.6,2.49,0.45,757.14,EUR,3.2216,193.9,0.0082,85.8,false,true
LANE-00105,NODE-0001,NODE-0013,AIR,15739.8,4.36,2.35,2405.64,EUR,62.9992,1876.34,0.00321,96.2,true,true
LANE-00106,NODE-0007,NODE-0014,AIR,20510.1,5.23,2.49,2074.54,EUR,82.0804,2126.77,0.00403,91.3,true,true
LANE-00107,NODE-0010,NODE-0014,AIR,17830.2,4.74,4.71,1762.9,EUR,71.3608,1986.09,0.00491,84.9,true,true
LANE-00108,NODE-0010,NODE-0017,AIR,16490.4,4.5,4.36,2415.64,EUR,66.0016,1915.74,0.00799,95.8,true,true
LANE-00109,NODE-0016,NODE-0023,AIR,14483.0,4.13,3.35,253.63,EUR,218.045,1810.35,0.00697,91.5,true,true
LANE-00110,NODE-0026,NODE-0033,AIR,15239.8,4.27,4.19,355.29,EUR,229.397,1850.09,0.00792,96.2,true,true
LANE-00111,NODE-0029,NODE-0035,AIR,9849.6,3.29,2.56,244.45,EUR,148.544,1567.11,0.00345,91.0,true,true
LANE-00112,NODE-0032,NODE-0035,AIR,11962.5,3.67,3.77,260.01,EUR,180.2375,1678.04,0.00514,85.7,true,true
LANE-00113,NODE-0032,NODE-0036,AIR,11270.9,3.55,2.43,340.55,EUR,169.8635,1641.72,0.00961,83.5,true,true
LANE-00114,NODE-0032,NODE-0037,AIR,10364.3,3.38,2.29,312.11,EUR,156.2645,1594.12,0.00447,83.2,true,true
LANE-00115,NODE-0032,NODE-0038,AIR,12140.3,3.71,2.56,335.19,EUR,182.9045,1687.37,0.00966,82.3,true,true
LANE-00116,NODE-0033,NODE-0035,AIR,10317.5,3.38,2.94,365.76,EUR,155.5625,1591.66,0.00357,84.9,true,true
