period_id,period_number,week_start_date,week_end_date,order_cutoff_timestamp,is_terminal_period
P01,1,2027-01-04,2027-01-10,2027-01-01T12:00:00Z,false
P02,2,2027-01-11,2027-01-17,2027-01-08T12:00:00Z,false
P03,3,2027-01-18,2027-01-24,2027-01-15T12:00:00Z,false
P04,4,2027-01-25,2027-01-31,2027-01-22T12:00:00Z,false
P05,5,2027-02-01,2027-02-07,2027-01-29T12:00:00Z,false
P06,6,2027-02-08,2027-02-14,2027-02-05T12:00:00Z,false
P07,7,2027-02-15,2027-02-21,2027-02-12T12:00:00Z,false
P08,8,2027-02-22,2027-02-28,2027-02-19T12:00:00Z,false
P09,9,2027-03-01,2027-03-07,2027-02-26T12:00:00Z,false
P10,10,2027-03-08,2027-03-14,2027-03-05T12:00:00Z,false
P11,11,2027-03-15,2027-03-21,2027-03-12T12:00:00Z,false
P12,12,2027-03-22,2027-03-28,2027-03-19T12:00:00Z,true
