cost_rule_id,cost_component,scope_type,scope_id,capitalised_flag,capitalisation_stage,allocation_basis,markup_eligible_flag,noncapitalised_ledger_category,precedence
COST-0001,EXTERNAL_PURCHASE,GLOBAL,,true,SOURCE,DIRECT,false,,1
COST-0002,FREIGHT,GLOBAL,,true,RECEIPT,QUANTITY,false,,2
COST-0003,DUTY,GLOBAL,,true,RECEIPT,GOODS_VALUE,false,,3
COST-0004,INSURANCE,GLOBAL,,true,RECEIPT,GOODS_VALUE,false,,4
COST-0005,FIXED_ORDER,GLOBAL,,true,RECEIPT,ACTIVATION,false,,5
COST-0006,FIXED_SHIPMENT,GLOBAL,,true,RECEIPT,ACTIVATION,false,,6
COST-0007,CONVERSION,GLOBAL,,true,TRANSFORMATION,QUANTITY,true,,7
COST-0008,SETUP,GLOBAL,,true,TRANSFORMATION,ACTIVATION,true,,8
COST-0009,OVERHEAD,GLOBAL,,true,TRANSFORMATION,QUANTITY,true,,9
COST-0010,SURGE,GLOBAL,,true,SOURCE,QUANTITY,false,,10
COST-0011,MARKUP,GLOBAL,,true,TRANSFORMATION,GOODS_VALUE,false,,11
COST-0012,HOLDING,GLOBAL,,false,NONE,QUANTITY,false,HOLDING_EXPENSE,12
COST-0013,ACTIVATION,GLOBAL,,false,NONE,ACTIVATION,false,RELATIONSHIP_EXPENSE,13
COST-0014,SHORTAGE,GLOBAL,,false,NONE,QUANTITY,false,SERVICE_PENALTY,14
