plant_id,material_id,period_id,demand_quantity,priority_class,service_weight,shortage_penalty_eur_per_unit
NODE-0011,MAT-0005,P01,0.0,HIGH,1.5,0.0
NODE-0011,MAT-0005,P02,0.0,HIGH,1.5,0.0
NODE-0011,MAT-0005,P03,0.0,HIGH,1.5,0.0
NODE-0011,MAT-0005,P04,30.0,HIGH,1.5,0.0
NODE-0011,MAT-0005,P05,10.0,HIGH,1.5,0.0
NODE-0012,MAT-0005,P01,0.0,STANDARD,1.0,0.0
NODE-0012,MAT-0005,P02,0.0,STANDARD,1.0,0.0
NODE-0012,MAT-0005,P03,0.0,STANDARD,1.0,0.0
NODE-0012,MAT-0005,P04,30.0,STANDARD,1.0,0.0
NODE-0012,MAT-0005,P05,10.0,STANDARD,1.0,0.0
NODE-0013,MAT-0005,P01,0.0,STANDARD,1.0,0.0
NODE-0013,MAT-0005,P02,0.0,STANDARD,1.0,0.0
NODE-0013,MAT-0005,P03,0.0,STANDARD,1.0,0.0
NODE-0013,MAT-0005,P04,12.0,STANDARD,1.0,0.0
NODE-0013,MAT-0005,P05,8.0,STANDARD,1.0,0.0
