node_id,material_id,period_id,standard_unit_cost_eur,derivation_method,baseline_only_flag,prohibited_for_recursive_model_flag
NODE-0013,MAT-0013,P01,70.00237,SYNTHETIC_STANDARD_COST,true,true
NODE-0013,MAT-0013,P02,69.902212,SYNTHETIC_STANDARD_COST,true,true
NODE-0013,MAT-0013,P03,69.739324,SYNTHETIC_STANDARD_COST,true,true
NODE-0013,MAT-0013,P04,69.553535,SYNTHETIC_STANDARD_COST,true,true
NODE-0013,MAT-0013,P05,69.390283,SYNTHETIC_STANDARD_COST,true,true
NODE-0013,MAT-0013,P06,69.289487,SYNTHETIC_STANDARD_COST,true,true
NODE-0013,MAT-0013,P07,69.275773,SYNTHETIC_STANDARD_COST,true,true
NODE-0013,MAT-0013,P08,69.352449,SYNTHETIC_STANDARD_COST,true,true
NODE-0013,MAT-0013,P09,69.50069,SYNTHETIC_STANDARD_COST,true,true
NODE-0013,MAT-0013,P10,69.684152,SYNTHETIC_STANDARD_COST,true,true
NODE-0013,MAT-0013,P11,69.857865,SYNTHETIC_STANDARD_COST,true,true
NODE-0013,MAT-0013,P12,69.979247,SYNTHETIC_STANDARD_COST,true,true
NODE-0013,MAT-0018,P01,52.705726,SYNTHETIC_STANDARD_COST,true,true
NODE-0013,MAT-0018,P02,52.49368,SYNTHETIC_STANDARD_COST,true,true
NODE-0013,MAT-0018,P03,52.236644,SYNTHETIC_STANDARD_COST,true,true
NODE-0013,MAT-0018,P04,51.997491,SYNTHETIC_STANDARD_COST,true,true
NODE-0013,MAT-0018,P05,51.834719,SYNTHETIC_STANDARD_COST,true,true
NODE-0013,MAT-0018,P06,51.788127,SYNTHETIC_STANDARD_COST,true,true
NODE-0013,MAT-0018,P07,51.869064,SYNTHETIC_STANDARD_COST,true,true
NODE-0013,MAT-0018,P08,52.05766,SYNTHETIC_STANDARD_COST,true,true
NODE-0013,MAT-0018,P09,52.307684,SYNTHETIC_STANDARD_COST,true,true
NODE-0013,MAT-0018,P10,52.557867,SYNTHETIC_STANDARD_COST,true,true
NODE-0013,MAT-0018,P11,52.746898,SYNTHETIC_STANDARD_COST,true,true
NODE-0013,MAT-0018,P12,52.828442,SYNTHETIC_STANDARD_COST,true,true
NODE-0014,MAT-0014,P01,66.123149,SYNTHETIC_STANDARD_COST,true,true
NODE-0014,MAT-0014,P02,65.968801,SYNTHETIC_STANDARD_COST,true,true
NODE-0014,MAT-0014,P03,65.783506,SYNTHETIC_STANDARD_COST,true,true
NODE-0014,MAT-0014,P04,65.612535,SYNTHETIC_STANDARD_COST,true,true
NODE-0014,MAT-0014,P05,65.497677,SYNTHETIC_STANDARD_COST,true,true
NODE-0014,MAT-0014,P06,65.466913,SYNTHETIC_STANDARD_COST,true,true
NODE-0014,MAT-0014,P07,65.527703,SYNTHETIC_STANDARD_COST,true,true
NODE-0014,MAT-0014,P08,65.665042,SYNTHETIC_STANDARD_COST,true,true
NODE-0014,MAT-0014,P09,65.845237,SYNTHETIC_STANDARD_COST,true,true
NODE-0014,MAT-0014,P10,66.024049,SYNTHETIC_STANDARD_COST,true,true
NODE-0014,MAT-0014,P11,66.157585,SYNTHETIC_STANDARD_COST,true,true
