contract_id,material_id,period_id,unit_price,currency,price_source,scenario_sensitive_flag
CTR-00001,MAT-0001,P01,8.206397,USD,SYNTHETIC_FIXED,true
CTR-00001,MAT-0001,P02,8.22079,USD,SYNTHETIC_FIXED,true
CTR-00001,MAT-0001,P03,8.198645,USD,SYNTHETIC_FIXED,true
CTR-00001,MAT-0001,P04,8.148456,USD,SYNTHETIC_FIXED,true
CTR-00001,MAT-0001,P05,8.085687,USD,SYNTHETIC_FIXED,true
CTR-00001,MAT-0001,P06,8.028941,USD,SYNTHETIC_FIXED,true
CTR-00001,MAT-0001,P07,7.995358,USD,SYNTHETIC_FIXED,true
CTR-00001,MAT-0001,P08,7.996408,USD,SYNTHETIC_FIXED,true
CTR-00001,MAT-0001,P09,8.035117,USD,SYNTHETIC_FIXED,true
CTR-00001,MAT-0001,P10,8.105354,USD,SYNTHETIC_FIXED,true
CTR-00001,MAT-0001,P11,8.193314,USD,SYNTHETIC_FIXED,true
CTR-00001,MAT-0001,P12,8.280824,USD,SYNTHETIC_FIXED,true
CTR-00002,MAT-0008,P01,23.67234,USD,SYNTHETIC_FIXED,true
CTR-00002,MAT-0008,P02,23.539364,USD,SYNTHETIC_FIXED,true
CTR-00002,MAT-0008,P03,23.373371,USD,SYNTHETIC_FIXED,true
CTR-00002,MAT-0008,P04,23.224328,USD,SYNTHETIC_FIXED,true
CTR-00002,MAT-0008,P05,23.13822,USD,SYNTHETIC_FIXED,true
CTR-00002,MAT-0008,P06,23.145619,USD,SYNTHETIC_FIXED,true
CTR-00002,MAT-0008,P07,23.254143,USD,SYNTHETIC_FIXED,true
CTR-00002,MAT-0008,P08,23.446674,USD,SYNTHETIC_FIXED,true
CTR-00002,MAT-0008,P09,23.68563,USD,SYNTHETIC_FIXED,true
CTR-00002,MAT-0008,P10,23.922135,USD,SYNTHETIC_FIXED,true
CTR-00002,MAT-0008,P11,24.107823,USD,SYNTHETIC_FIXED,true
CTR-00002,MAT-0008,P12,24.206526,USD,SYNTHETIC_FIXED,true
CTR-00003,MAT-0008,P01,23.190259,USD,SYNTHETIC_FIXED,true
CTR-00003,MAT-0008,P02,23.084297,USD,SYNTHETIC_FIXED,true
CTR-00003,MAT-0008,P03,23.057179,USD,SYNTHETIC_FIXED,true
CTR-00003,MAT-0008,P04,23.125113,USD,SYNTHETIC_FIXED,true
CTR-00003,MAT-0008,P05,23.280909,USD,SYNTHETIC_FIXED,true
CTR-00003,MAT-0008,P06,23.495726,USD,SYNTHETIC_FIXED,true
CTR-00003,MAT-0008,P07,23.726242,USD,SYNTHETIC_FIXED,true
