node_id,material_id,on_hand_quantity,reserved_quantity,usable_quantity,opening_unit_cost_eur,opening_total_value_eur,cost_basis_source,valuation_date
NODE-0035,MAT-0029,124.03,3.22,120.81,371.159505,44839.779799,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0035,MAT-0031,173.54,12.29,161.25,388.599638,62661.691628,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0035,MAT-0032,139.32,3.38,135.94,314.253989,42719.687265,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0036,MAT-0033,259.58,17.22,242.36,805.777509,195288.237081,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0037,MAT-0033,211.01,8.86,202.15,749.306792,151472.368003,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0037,MAT-0035,103.59,2.23,101.36,368.668182,37368.206928,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0038,MAT-0031,152.07,10.57,141.5,379.254729,53664.544153,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0038,MAT-0035,126.98,6.69,120.29,333.758132,40147.765698,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0029,MAT-0029,442.63,25.19,417.44,437.288112,182541.549473,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0029,MAT-0033,427.19,23.23,403.96,402.492593,162590.907868,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0029,MAT-0035,407.51,24.08,383.43,312.120113,119676.214928,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0030,MAT-0030,363.42,21.76,341.66,492.763689,168357.641984,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0030,MAT-0034,331.25,7.4,323.85,455.309771,147452.069338,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0030,MAT-0036,292.63,8.05,284.58,176.995824,50369.471594,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0031,MAT-0029,147.52,8.37,139.15,219.101571,30487.983605,SYNTHETIC_BOOK_VALUE,2027-01-03
