node_id,material_id,period_id,regular_capacity,surge_capacity,surge_unit_premium,planned_downtime_fraction,minimum_supply_quantity
NODE-0001,MAT-0001,P01,4263.28,1193.72,1.3701,0.0,0.0
NODE-0001,MAT-0001,P02,4105.0,1149.4,1.3696,0.0,0.0
NODE-0001,MAT-0001,P03,3996.56,1119.04,1.3634,0.0,0.0
NODE-0001,MAT-0001,P04,3964.5,1110.06,1.3531,0.0,0.0
NODE-0001,MAT-0001,P05,4016.68,1124.67,1.3411,0.0,0.0
NODE-0001,MAT-0001,P06,4140.32,1159.29,1.3304,0.0,0.0
NODE-0001,MAT-0001,P07,4305.14,1205.44,1.3236,0.0,0.0
NODE-0001,MAT-0001,P08,4470.8,1251.82,1.3224,0.0,0.0
NODE-0001,MAT-0001,P09,4596.73,1287.09,1.3271,0.0,0.0
NODE-0001,MAT-0001,P10,4652.11,1302.59,1.3365,0.0,0.0
NODE-0001,MAT-0001,P11,4623.37,1294.54,1.3483,0.0,0.0
NODE-0001,MAT-0001,P12,4517.55,1264.91,1.3597,0.0,0.0
NODE-0001,MAT-0008,P01,4506.85,1261.92,3.912,0.0,0.0
NODE-0001,MAT-0008,P02,4331.79,1212.9,3.8838,0.0,0.0
NODE-0001,MAT-0008,P03,4190.44,1173.32,3.8607,0.0,0.0
NODE-0001,MAT-0008,P04,4117.41,1152.87,3.8482,0.0,0.0
NODE-0001,MAT-0008,P05,4130.57,1156.56,3.8495,0.0,0.0
NODE-0001,MAT-0008,P06,4226.7,1183.48,3.8642,0.0,0.0
NODE-0001,MAT-0008,P07,4382.28,1227.04,3.8888,0.0,0.0
NODE-0001,MAT-0008,P08,4559.2,1276.58,3.9172,0.0,0.0
NODE-0001,MAT-0008,P09,4714.15,1319.96,3.9424,0.0,0.0
NODE-0001,MAT-0008,P10,4809.2,1346.58,3.9583,0.0,0.0
NODE-0001,MAT-0008,P11,4821.07,1349.9,3.9611,0.0,0.0
NODE-0001,MAT-0008,P12,4746.85,1329.12,3.9499,0.0,0.0
NODE-0002,MAT-0002,P01,5213.4,1459.75,2.7002,0.0,0.0
NODE-0002,MAT-0002,P02,5115.0,1432.2,2.6842,0.0,0.0
NODE-0002,MAT-0002,P03,4949.78,1385.94,2.6662,0.0,0.0
NODE-0002,MAT-0002,P04,4758.2,1332.3,2.6506,0.0,0.0
NODE-0002,MAT-0002,P05,4587.17,1284.41,2.6412,0.0,0.0
NODE-0002,MAT-0002,P06,4478.55,1254.0,2.6403,0.0,0.0
NODE-0002,MAT-0002,P07,4458.95,1248.51,2.6482,0.0,0.0
NODE-0002,MAT-0002,P08,4533.16,1269.28,2.6628,0.0,0.0
NODE-0002,MAT-0002,P09,4683.01,1311.24,2.6806,0.12,0.0
NODE-0002,MAT-0002,P10,4871.81,1364.11,2.6973,0.0,0.0
NODE-0002,MAT-0002,P11,5053.34,1414.94,2.7088,0.0,0.0
