node_id,recipe_id,period_id,currency,variable_conversion_cost_per_output,fixed_setup_cost,eligible_overhead_fixed,eligible_overhead_variable,markup_rate,markup_base_rule_id,scenario_sensitive_flag
NODE-0013,RCP-00001,P01,VND,229613.6091,21905295.0057,7009694.4018,41330.4496,0.0797,COST-0011,true
NODE-0013,RCP-00001,P02,VND,230237.1214,21910212.1572,7011267.8903,41442.6819,0.0797,COST-0011,true
NODE-0013,RCP-00001,P03,VND,229984.42,21894239.4804,7006156.6337,41397.1956,0.0797,COST-0011,true
NODE-0013,RCP-00001,P04,VND,228853.2565,21855021.1612,6993606.7716,41193.5862,0.0797,COST-0011,true
NODE-0013,RCP-00001,P05,VND,227040.1944,21794023.028,6974087.369,40867.235,0.0797,COST-0011,true
NODE-0013,RCP-00001,P06,VND,224924.096,21719460.6995,6950227.4238,40486.3373,0.0797,COST-0011,true
NODE-0013,RCP-00001,P07,VND,222943.6885,21641807.3521,6925378.3527,40129.8639,0.0797,COST-0011,true
NODE-0013,RCP-00001,P08,VND,221507.7428,21573048.1564,6903375.4101,39871.3937,0.0797,COST-0011,true
NODE-0013,RCP-00001,P09,VND,220878.3532,21521913.0993,6887012.1918,39758.1036,0.0797,COST-0011,true
NODE-0013,RCP-00001,P10,VND,221134.647,21494069.5056,6878102.2418,39804.2365,0.0797,COST-0011,true
NODE-0013,RCP-00001,P11,VND,222129.1027,21488154.6292,6876209.4813,39983.2385,0.0797,COST-0011,true
NODE-0013,RCP-00001,P12,VND,223550.1745,21498803.7518,6879617.2006,40239.0314,0.0797,COST-0011,true
NODE-0016,RCP-00002,P01,INR,543.4052,51898.8142,16607.6205,97.8129,0.118,COST-0011,true
NODE-0016,RCP-00002,P02,INR,542.4546,52077.5784,16664.8251,97.6418,0.118,COST-0011,true
NODE-0016,RCP-00002,P03,INR,540.6667,52215.0559,16708.8179,97.32,0.118,COST-0011,true
NODE-0016,RCP-00002,P04,INR,538.7474,52302.6719,16736.855,96.9745,0.118,COST-0011,true
NODE-0016,RCP-00002,P05,INR,537.4401,52344.4004,16750.2081,96.7392,0.118,COST-0011,true
NODE-0016,RCP-00002,P06,INR,537.337,52355.792,16753.8534,96.7207,0.118,COST-0011,true
NODE-0016,RCP-00002,P07,INR,538.7317,52360.0265,16755.2085,96.9717,0.118,COST-0011,true
NODE-0016,RCP-00002,P08,INR,541.5514,52382.0758,16762.2643,97.4793,0.118,COST-0011,true
NODE-0016,RCP-00002,P09,INR,545.3806,52442.669,16781.6541,98.1685,0.118,COST-0011,true
NODE-0016,RCP-00002,P10,INR,549.5637,52553.3551,16817.0736,98.9215,0.118,COST-0011,true
NODE-0016,RCP-00002,P11,INR,553.3601,52713.8144,16868.4206,99.6048,0.118,COST-0011,true
NODE-0016,RCP-00002,P12,INR,556.1183,52911.8149,16931.7808,100.1013,0.118,COST-0011,true
