node_id,material_id,allow_inventory_flag,safety_stock_quantity,safety_stock_treatment,maximum_storage_quantity,holding_cost_eur_per_unit_week,minimum_meaningful_pool_quantity,terminal_target_quantity
NODE-0001,MAT-0001,true,0.0,REPORT_ONLY,9000.0,0.0806,0.01,
NODE-0001,MAT-0008,true,0.0,REPORT_ONLY,9000.0,0.0548,0.01,
NODE-0002,MAT-0002,true,0.0,REPORT_ONLY,9000.0,0.0721,0.01,
NODE-0002,MAT-0009,true,0.0,REPORT_ONLY,9000.0,0.0584,0.01,
NODE-0003,MAT-0003,true,0.0,REPORT_ONLY,9000.0,0.0472,0.01,
NODE-0003,MAT-0010,true,0.0,REPORT_ONLY,9000.0,0.0735,0.01,
NODE-0004,MAT-0004,true,0.0,REPORT_ONLY,9000.0,0.0642,0.01,
NODE-0004,MAT-0011,true,0.0,REPORT_ONLY,9000.0,0.0574,0.01,
NODE-0005,MAT-0005,true,428.43,SOFT,9000.0,0.0786,0.01,
NODE-0005,MAT-0012,true,0.0,REPORT_ONLY,9000.0,0.0806,0.01,
NODE-0006,MAT-0001,true,0.0,REPORT_ONLY,9000.0,0.0533,0.01,
NODE-0006,MAT-0006,true,0.0,REPORT_ONLY,9000.0,0.0583,0.01,
NODE-0007,MAT-0002,true,0.0,REPORT_ONLY,9000.0,0.0569,0.01,
NODE-0007,MAT-0007,true,409.06,SOFT,9000.0,0.0534,0.01,
NODE-0008,MAT-0003,true,0.0,REPORT_ONLY,9000.0,0.0469,0.01,
NODE-0008,MAT-0008,true,0.0,REPORT_ONLY,9000.0,0.0441,0.01,
NODE-0009,MAT-0004,true,0.0,REPORT_ONLY,9000.0,0.0657,0.01,
NODE-0010,MAT-0005,true,0.0,REPORT_ONLY,9000.0,0.0487,0.01,
NODE-0010,MAT-0010,true,0.0,REPORT_ONLY,9000.0,0.0435,0.01,
NODE-0011,MAT-0006,true,0.0,REPORT_ONLY,9000.0,0.0551,0.01,
NODE-0011,MAT-0011,true,0.0,REPORT_ONLY,9000.0,0.0722,0.01,
NODE-0012,MAT-0007,true,0.0,REPORT_ONLY,9000.0,0.0703,0.01,
NODE-0013,MAT-0001,true,0.0,REPORT_ONLY,6500.0,0.0641,0.01,
NODE-0013,MAT-0002,false,0.0,REPORT_ONLY,0.0,0.0535,0.01,
NODE-0013,MAT-0008,false,0.0,REPORT_ONLY,0.0,0.0667,0.01,
NODE-0013,MAT-0011,true,0.0,REPORT_ONLY,6500.0,0.0568,0.01,
NODE-0013,MAT-0012,true,283.67,SOFT,6500.0,0.0734,0.01,
NODE-0013,MAT-0013,true,196.51,SOFT,4225.0,0.3591,0.01,
NODE-0013,MAT-0018,true,0.0,REPORT_ONLY,4225.0,0.3819,0.01,
NODE-0014,MAT-0002,true,283.91,SOFT,6500.0,0.0633,0.01,
NODE-0014,MAT-0009,true,0.0,REPORT_ONLY,6500.0,0.0755,0.01,
NODE-0014,MAT-0010,true,0.0,REPORT_ONLY,6500.0,0.0755,0.01,
NODE-0014,MAT-0014,true,0.0,REPORT_ONLY,4225.0,0.4837,0.01,
NODE-0014,MAT-0019,true,0.0,REPORT_ONLY,4225.0,0.3805,0.01,
NODE-0015,MAT-0003,true,0.0,REPORT_ONLY,6500.0,0.0615,0.01,
NODE-0015,MAT-0004,true,318.38,HARD,6500.0,0.0489,0.01,
NODE-0015,MAT-0010,true,294.99,SOFT,6500.0,0.0514,0.01,
NODE-0015,MAT-0015,true,0.0,REPORT_ONLY,4225.0,0.3197,0.01,
NODE-0015,MAT-0020,true,0.0,REPORT_ONLY,4225.0,0.5126,0.01,
NODE-0016,MAT-0003,true,0.0,REPORT_ONLY,6500.0,0.0442,0.01,
NODE-0016,MAT-0004,true,0.0,REPORT_ONLY,6500.0,0.0471,0.01,
NODE-0016,MAT-0013,true,210.28,HARD,4225.0,0.466,0.01,
NODE-0016,MAT-0016,true,0.0,REPORT_ONLY,4225.0,0.3525,0.01,
NODE-0017,MAT-0004,true,281.23,SOFT,6500.0,0.078,0.01,
NODE-0017,MAT-0005,true,0.0,REPORT_ONLY,6500.0,0.074,0.01,
NODE-0017,MAT-0006,true,293.47,SOFT,6500.0,0.0641,0.01,
NODE-0017,MAT-0014,true,0.0,REPORT_ONLY,4225.0,0.5162,0.01,
NODE-0017,MAT-0017,true,0.0,REPORT_ONLY,4225.0,0.336,0.01,
NODE-0018,MAT-0005,true,0.0,REPORT_ONLY,6500.0,0.0484,0.01,
NODE-0018,MAT-0006,true,0.0,REPORT_ONLY,6500.0,0.0443,0.01,
NODE-0018,MAT-0015,true,0.0,REPORT_ONLY,4225.0,0.3634,0.01,
NODE-0018,MAT-0018,true,190.98,SOFT,4225.0,0.5171,0.01,
NODE-0019,MAT-0006,true,283.46,SOFT,6500.0,0.0475,0.01,
NODE-0019,MAT-0007,true,284.65,SOFT,6500.0,0.0621,0.01,
NODE-0019,MAT-0008,false,0.0,REPORT_ONLY,0.0,0.0504,0.01,
NODE-0019,MAT-0016,true,0.0,REPORT_ONLY,4225.0,0.4821,0.01,
NODE-0019,MAT-0019,true,0.0,REPORT_ONLY,4225.0,0.4049,0.01,
NODE-0020,MAT-0007,true,302.94,SOFT,6500.0,0.07,0.01,
NODE-0020,MAT-0008,true,289.71,SOFT,6500.0,0.072,0.01,
NODE-0020,MAT-0017,true,210.14,HARD,4225.0,0.5069,0.01,
NODE-0020,MAT-0020,true,0.0,REPORT_ONLY,4225.0,0.4236,0.01,
NODE-0021,MAT-0020,true,0.0,REPORT_ONLY,2340.0,0.3553,0.01,
NODE-0021,MAT-0026,true,0.0,REPORT_ONLY,2340.0,0.4223,0.01,
NODE-0022,MAT-0013,true,116.06,HARD,2340.0,0.2936,0.01,
NODE-0022,MAT-0027,true,101.5,SOFT,2340.0,0.2764,0.01,
NODE-0023,MAT-0014,true,0.0,REPORT_ONLY,2340.0,0.4318,0.01,
NODE-0023,MAT-0015,true,0.0,REPORT_ONLY,2340.0,0.4196,0.01,
NODE-0023,MAT-0016,true,0.0,REPORT_ONLY,2340.0,0.3615,0.01,
NODE-0023,MAT-0023,true,0.0,REPORT_ONLY,2340.0,0.5031,0.01,
NODE-0023,MAT-0028,true,0.0,REPORT_ONLY,2340.0,0.2967,0.01,
NODE-0024,MAT-0013,true,0.0,REPORT_ONLY,2340.0,0.4321,0.01,
NODE-0024,MAT-0014,true,0.0,REPORT_ONLY,2340.0,0.298,0.01,
NODE-0024,MAT-0016,true,0.0,REPORT_ONLY,2340.0,0.399,0.01,
NODE-0024,MAT-0017,true,0.0,REPORT_ONLY,2340.0,0.2675,0.01,
NODE-0024,MAT-0018,false,0.0,REPORT_ONLY,0.0,0.3735,0.01,
