node_id,material_id,on_hand_quantity,reserved_quantity,usable_quantity,opening_unit_cost_eur,opening_total_value_eur,cost_basis_source,valuation_date
NODE-0035,MAT-0029,124.03,3.22,120.81,349.213787,42188.517607,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0035,MAT-0031,173.54,12.29,161.25,353.054383,56930.019259,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0035,MAT-0032,139.32,3.38,135.94,270.708873,36800.164196,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0036,MAT-0033,259.58,17.22,242.36,661.136634,160233.074616,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0037,MAT-0033,211.01,8.86,202.15,620.911919,125517.344426,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0037,MAT-0035,103.59,2.23,101.36,340.266664,34489.429063,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0038,MAT-0031,152.07,10.57,141.5,335.9298,47534.0667,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0038,MAT-0035,126.98,6.69,120.29,325.168701,39114.543043,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0029,MAT-0029,442.63,25.19,417.44,458.459553,191379.355804,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0029,MAT-0033,427.19,23.23,403.96,378.020413,152705.126035,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0029,MAT-0035,407.51,24.08,383.43,329.437881,126316.366712,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0030,MAT-0030,363.42,21.76,341.66,503.233366,171934.711828,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0030,MAT-0034,331.25,7.4,323.85,451.36561,146174.752799,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0030,MAT-0036,292.63,8.05,284.58,187.838455,53455.067524,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0031,MAT-0029,147.52,8.37,139.15,225.516727,31380.652562,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0031,MAT-0031,393.17,8.54,384.63,399.770521,153763.735492,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0031,MAT-0035,173.1,5.42,167.68,344.825671,57820.368513,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0032,MAT-0030,421.19,11.19,410.0,368.667001,151153.47041,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0032,MAT-0032,398.45,15.8,382.65,376.270695,143979.981442,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0032,MAT-0036,348.81,7.32,341.49,256.437197,87570.738404,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0033,MAT-0031,158.83,4.98,153.85,333.979801,51382.792384,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0033,MAT-0033,430.94,26.98,403.96,855.580659,345620.36301,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0034,MAT-0032,194.6,9.83,184.77,174.495927,32241.612432,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0034,MAT-0034,113.16,5.21,107.95,194.218834,20965.92313,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0021,MAT-0026,414.55,19.64,394.91,112.262281,44333.49739,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0022,MAT-0027,318.29,17.65,300.64,103.511972,31119.839262,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0023,MAT-0023,487.63,25.79,461.84,231.368361,106855.163844,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0023,MAT-0028,318.51,21.54,296.97,122.229274,36298.4275,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0024,MAT-0021,297.11,20.47,276.64,177.036988,48975.51236,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0024,MAT-0024,516.34,18.44,497.9,110.420874,54978.553165,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0024,MAT-0025,569.42,41.27,528.15,359.196873,189709.828475,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0025,MAT-0021,80.9,1.86,79.04,202.171719,15979.65267,SYNTHETIC_BOOK_VALUE,2027-01-03
NODE-0026,MAT-0023,417.27,19.69,397.58,194.450026,77309.441337,SYNTHETIC_BOOK_VALUE,2027-01-03
