plant_id,material_id,period_id,demand_quantity,priority_class,service_weight,shortage_penalty_eur_per_unit
NODE-0035,MAT-0029,P01,29.26,CRITICAL,6.0,6000.0
NODE-0035,MAT-0029,P02,27.21,CRITICAL,6.0,6000.0
NODE-0035,MAT-0029,P03,26.89,CRITICAL,6.0,6000.0
NODE-0035,MAT-0029,P04,28.5,CRITICAL,6.0,6000.0
NODE-0035,MAT-0029,P05,44.11,CRITICAL,6.0,6000.0
NODE-0035,MAT-0029,P06,38.97,CRITICAL,6.0,6000.0
NODE-0035,MAT-0029,P07,33.19,CRITICAL,6.0,6000.0
NODE-0035,MAT-0029,P08,31.47,CRITICAL,6.0,6000.0
NODE-0035,MAT-0029,P09,28.89,CRITICAL,6.0,6000.0
NODE-0035,MAT-0029,P10,27.03,CRITICAL,6.0,6000.0
NODE-0035,MAT-0029,P11,27.01,CRITICAL,6.0,6000.0
NODE-0035,MAT-0029,P12,28.85,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P01,39.71,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P02,36.66,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P03,35.65,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P04,37.29,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P05,40.59,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P06,61.85,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P07,52.36,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P08,42.56,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P09,39.2,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P10,36.35,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P11,35.73,CRITICAL,6.0,6000.0
NODE-0035,MAT-0031,P12,37.71,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P01,33.7,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P02,31.03,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P03,29.98,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P04,31.16,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P05,33.88,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P06,36.47,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P07,53.07,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P08,42.52,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P09,33.26,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P10,30.75,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P11,30.01,CRITICAL,6.0,6000.0
NODE-0035,MAT-0032,P12,31.5,CRITICAL,6.0,6000.0
NODE-0035,MAT-0033,P01,0.0,STANDARD,1.0,900.0
NODE-0035,MAT-0033,P02,31.29,STANDARD,1.0,900.0
NODE-0035,MAT-0033,P03,29.39,STANDARD,1.0,900.0
NODE-0035,MAT-0033,P04,29.54,STANDARD,1.0,900.0
NODE-0035,MAT-0033,P05,31.66,STANDARD,1.0,900.0
NODE-0035,MAT-0033,P06,34.45,STANDARD,1.0,900.0
NODE-0035,MAT-0033,P07,36.24,STANDARD,1.0,900.0
NODE-0035,MAT-0033,P08,51.01,STANDARD,1.0,900.0
NODE-0035,MAT-0033,P09,39.77,STANDARD,1.0,900.0
NODE-0035,MAT-0033,P10,30.92,STANDARD,1.0,900.0
NODE-0035,MAT-0033,P11,29.27,STANDARD,1.0,900.0
NODE-0035,MAT-0033,P12,29.75,STANDARD,1.0,900.0
NODE-0035,MAT-0035,P01,0.0,HIGH,2.5,2400.0
NODE-0035,MAT-0035,P02,27.17,HIGH,2.5,2400.0
NODE-0035,MAT-0035,P03,24.94,HIGH,2.5,2400.0
NODE-0035,MAT-0035,P04,23.37,HIGH,2.5,2400.0
NODE-0035,MAT-0035,P05,23.41,HIGH,2.5,2400.0
NODE-0035,MAT-0035,P06,25.03,HIGH,2.5,2400.0
NODE-0035,MAT-0035,P07,27.26,HIGH,2.5,2400.0
NODE-0035,MAT-0035,P08,28.74,HIGH,2.5,2400.0
NODE-0035,MAT-0035,P09,40.56,HIGH,2.5,2400.0
NODE-0035,MAT-0035,P10,31.69,HIGH,2.5,2400.0
NODE-0035,MAT-0035,P11,24.64,HIGH,2.5,2400.0
NODE-0035,MAT-0035,P12,23.26,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P01,0.0,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P02,38.44,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P03,35.85,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P04,32.93,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P05,31.45,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P06,32.31,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P07,34.99,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P08,37.86,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P09,39.18,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P10,54.18,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P11,41.77,HIGH,2.5,2400.0
NODE-0035,MAT-0036,P12,32.58,HIGH,2.5,2400.0
NODE-0036,MAT-0029,P01,0.0,CRITICAL,6.0,6000.0
NODE-0036,MAT-0029,P02,43.91,CRITICAL,6.0,6000.0
NODE-0036,MAT-0029,P03,42.31,CRITICAL,6.0,6000.0
NODE-0036,MAT-0029,P04,39.05,CRITICAL,6.0,6000.0
NODE-0036,MAT-0029,P05,51.28,CRITICAL,6.0,6000.0
NODE-0036,MAT-0029,P06,41.61,CRITICAL,6.0,6000.0
NODE-0036,MAT-0029,P07,37.03,CRITICAL,6.0,6000.0
NODE-0036,MAT-0029,P08,40.34,CRITICAL,6.0,6000.0
NODE-0036,MAT-0029,P09,43.18,CRITICAL,6.0,6000.0
NODE-0036,MAT-0029,P10,43.83,CRITICAL,6.0,6000.0
NODE-0036,MAT-0029,P11,41.9,CRITICAL,6.0,6000.0
NODE-0036,MAT-0029,P12,38.55,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P01,0.0,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P02,26.49,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P03,24.69,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P04,24.52,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P05,26.08,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P06,40.36,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P07,35.55,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P08,30.17,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P09,28.51,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P10,26.16,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P11,24.55,CRITICAL,6.0,6000.0
NODE-0036,MAT-0030,P12,24.65,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P01,0.0,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P02,22.75,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P03,20.89,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P04,19.96,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P05,20.51,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P06,22.21,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P07,34.13,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P08,29.35,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P09,24.21,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P10,22.46,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P11,20.68,CRITICAL,6.0,6000.0
NODE-0036,MAT-0032,P12,19.94,CRITICAL,6.0,6000.0
NODE-0036,MAT-0033,P01,35.85,STANDARD,1.0,900.0
NODE-0036,MAT-0033,P02,35.17,STANDARD,1.0,900.0
NODE-0036,MAT-0033,P03,32.77,STANDARD,1.0,900.0
NODE-0036,MAT-0033,P04,30.11,STANDARD,1.0,900.0
NODE-0036,MAT-0033,P05,28.79,STANDARD,1.0,900.0
NODE-0036,MAT-0033,P06,29.62,STANDARD,1.0,900.0
NODE-0036,MAT-0033,P07,32.1,STANDARD,1.0,900.0
NODE-0036,MAT-0033,P08,49.3,STANDARD,1.0,900.0
NODE-0036,MAT-0033,P09,42.35,STANDARD,1.0,900.0
NODE-0036,MAT-0033,P10,34.9,STANDARD,1.0,900.0
NODE-0036,MAT-0033,P11,32.36,STANDARD,1.0,900.0
NODE-0036,MAT-0033,P12,29.8,STANDARD,1.0,900.0
NODE-0036,MAT-0034,P01,0.0,HIGH,2.5,2400.0
NODE-0036,MAT-0034,P02,24.76,HIGH,2.5,2400.0
NODE-0036,MAT-0034,P03,23.29,HIGH,2.5,2400.0
