cost_rule_id,cost_component,scope_type,scope_id,capitalised_flag,capitalisation_stage,allocation_basis,markup_eligible_flag,noncapitalised_ledger_category,precedence
COST-0001,EXTERNAL_PURCHASE,GLOBAL,,true,SOURCE,QUANTITY,false,,0
COST-0002,FREIGHT,GLOBAL,,true,RECEIPT,QUANTITY,false,,0
COST-0003,DUTY,GLOBAL,,true,RECEIPT,GOODS_VALUE,false,,0
COST-0004,INSURANCE,GLOBAL,,true,RECEIPT,GOODS_VALUE,false,,0
COST-0005,FIXED_ORDER,GLOBAL,,true,RECEIPT,ACTIVATION,false,,0
COST-0006,FIXED_SHIPMENT,GLOBAL,,true,RECEIPT,ACTIVATION,false,,0
COST-0007,CONVERSION,GLOBAL,,true,TRANSFORMATION,QUANTITY,true,,0
COST-0008,SETUP,GLOBAL,,true,TRANSFORMATION,ACTIVATION,true,,0
COST-0009,OVERHEAD,GLOBAL,,true,TRANSFORMATION,DIRECT,true,,0
COST-0010,SURGE,GLOBAL,,true,TRANSFORMATION,QUANTITY,false,,0
COST-0011,MARKUP,GLOBAL,,true,TRANSFORMATION,GOODS_VALUE,false,,0
COST-0012,HOLDING,GLOBAL,,false,NONE,QUANTITY,false,PERIOD_HOLDING,0
COST-0013,ACTIVATION,GLOBAL,,false,NONE,ACTIVATION,false,RELATIONSHIP_ACTIVATION,0
COST-0014,SHORTAGE,GLOBAL,,false,NONE,QUANTITY,false,SERVICE_SHORTAGE_STAGE_1,0
COST-0015,SURGE,CONTRACT,CTR-00001,true,SOURCE,QUANTITY,false,,100
COST-0016,SURGE,CONTRACT,CTR-00002,true,SOURCE,QUANTITY,false,,100
COST-0017,SURGE,CONTRACT,CTR-00003,true,SOURCE,QUANTITY,false,,100
COST-0018,SURGE,CONTRACT,CTR-00004,true,SOURCE,QUANTITY,false,,100
COST-0019,SURGE,CONTRACT,CTR-00005,true,SOURCE,QUANTITY,false,,100
COST-0020,SURGE,CONTRACT,CTR-00006,true,SOURCE,QUANTITY,false,,100
COST-0021,SURGE,CONTRACT,CTR-00007,true,SOURCE,QUANTITY,false,,100
COST-0022,SURGE,CONTRACT,CTR-00008,true,SOURCE,QUANTITY,false,,100
COST-0023,SURGE,CONTRACT,CTR-00009,true,SOURCE,QUANTITY,false,,100
COST-0024,SURGE,CONTRACT,CTR-00010,true,SOURCE,QUANTITY,false,,100
COST-0025,SURGE,CONTRACT,CTR-00011,true,SOURCE,QUANTITY,false,,100
COST-0026,SURGE,CONTRACT,CTR-00012,true,SOURCE,QUANTITY,false,,100
COST-0027,SURGE,CONTRACT,CTR-00013,true,SOURCE,QUANTITY,false,,100
COST-0028,SURGE,CONTRACT,CTR-00014,true,SOURCE,QUANTITY,false,,100
COST-0029,SURGE,CONTRACT,CTR-00015,true,SOURCE,QUANTITY,false,,100
COST-0030,SURGE,CONTRACT,CTR-00016,true,SOURCE,QUANTITY,false,,100
COST-0031,SURGE,CONTRACT,CTR-00017,true,SOURCE,QUANTITY,false,,100
COST-0032,SURGE,CONTRACT,CTR-00018,true,SOURCE,QUANTITY,false,,100
COST-0033,SURGE,CONTRACT,CTR-00019,true,SOURCE,QUANTITY,false,,100
COST-0034,SURGE,CONTRACT,CTR-00020,true,SOURCE,QUANTITY,false,,100
COST-0035,SURGE,CONTRACT,CTR-00021,true,SOURCE,QUANTITY,false,,100
COST-0036,SURGE,CONTRACT,CTR-00022,true,SOURCE,QUANTITY,false,,100
COST-0037,SURGE,CONTRACT,CTR-00023,true,SOURCE,QUANTITY,false,,100
COST-0038,SURGE,CONTRACT,CTR-00024,true,SOURCE,QUANTITY,false,,100
COST-0039,SURGE,CONTRACT,CTR-00025,true,SOURCE,QUANTITY,false,,100
COST-0040,SURGE,CONTRACT,CTR-00026,true,SOURCE,QUANTITY,false,,100
COST-0041,SURGE,CONTRACT,CTR-00027,true,SOURCE,QUANTITY,false,,100
COST-0042,SURGE,CONTRACT,CTR-00028,true,SOURCE,QUANTITY,false,,100
COST-0043,SURGE,CONTRACT,CTR-00029,true,SOURCE,QUANTITY,false,,100
COST-0044,SURGE,CONTRACT,CTR-00030,true,SOURCE,QUANTITY,false,,100
COST-0045,SURGE,CONTRACT,CTR-00031,true,SOURCE,QUANTITY,false,,100
COST-0046,SURGE,CONTRACT,CTR-00032,true,SOURCE,QUANTITY,false,,100
COST-0047,SURGE,CONTRACT,CTR-00033,true,SOURCE,QUANTITY,false,,100
