node_id,material_id,month,ordered_quantity,received_quantity,on_time_quantity,accepted_quantity,average_actual_lead_time_days,lead_time_std_days,quality_incident_count,source_completeness_flag
NODE-0001,MAT-0001,2024-07-01,1220.84,1189.14,1127.01,1147.02,22.47,2.24,1,COMPLETE
NODE-0001,MAT-0001,2024-08-01,1260.23,1234.72,1164.16,1184.75,23.42,2.24,1,COMPLETE
NODE-0001,MAT-0001,2024-09-01,1271.85,1204.27,1119.2,1155.04,24.14,2.24,1,COMPLETE
NODE-0001,MAT-0001,2024-10-01,1254.42,1136.0,1034.42,1094.8,24.44,2.24,1,COMPLETE
NODE-0001,MAT-0001,2024-11-01,1209.87,1081.49,963.72,1048.09,24.27,2.24,0,COMPLETE
NODE-0001,MAT-0001,2024-12-01,1143.09,1054.52,923.45,1023.23,23.65,2.24,0,COMPLETE
NODE-0001,MAT-0001,2025-01-01,1061.44,1024.45,889.38,989.88,22.75,2.24,0,COMPLETE
NODE-0001,MAT-0001,2025-02-01,973.91,956.96,832.84,919.29,21.77,2.24,1,COMPLETE
NODE-0001,MAT-0001,2025-03-01,890.13,853.47,752.42,818.17,20.97,2.24,1,PARTIAL
NODE-0001,MAT-0001,2025-04-01,819.33,750.23,674.7,721.8,20.53,2.24,1,PARTIAL
NODE-0001,MAT-0001,2025-05-01,769.29,686.85,631.28,664.76,20.57,2.24,0,PARTIAL
NODE-0001,MAT-0001,2025-06-01,745.54,679.4,635.99,659.41,21.07,2.24,0,PARTIAL
NODE-0001,MAT-0001,2025-07-01,750.68,716.21,677.65,693.14,21.91,2.24,0,PARTIAL
NODE-0001,MAT-0001,2025-08-01,784.14,769.92,728.97,740.71,22.89,2.24,1,PARTIAL
NODE-0001,MAT-0001,2025-09-01,842.25,816.21,765.54,782.45,23.77,2.24,1,PARTIAL
NODE-0001,MAT-0001,2025-10-01,918.61,852.01,785.23,818.51,24.33,2.24,1,PARTIAL
NODE-0001,MAT-0001,2025-11-01,1004.81,899.65,811.42,869.33,24.43,2.24,0,PARTIAL
NODE-0001,MAT-0001,2025-12-01,1091.35,984.59,870.06,955.4,24.05,2.24,0,PARTIAL
NODE-0001,MAT-0001,2026-01-01,1168.73,1100.61,958.97,1066.58,23.28,2.24,0,COMPLETE
NODE-0001,MAT-0001,2026-02-01,1228.41,1200.91,1042.23,1157.29,22.32,2.24,1,COMPLETE
NODE-0001,MAT-0001,2026-03-01,1263.82,1234.58,1079.26,1184.09,21.39,2.24,1,COMPLETE
NODE-0001,MAT-0001,2026-04-01,1271.07,1195.01,1062.04,1146.68,20.72,2.24,1,COMPLETE
NODE-0001,MAT-0001,2026-05-01,1249.37,1125.98,1022.31,1086.15,20.49,2.24,1,COMPLETE
