node_id,material_id,period_id,standard_unit_cost_eur,derivation_method,baseline_only_flag,prohibited_for_recursive_model_flag
NODE-0001,MAT-0001,P01,4.1,SYNTHETIC_STANDARD_COST,true,true
NODE-0002,MAT-0002,P01,2.15,SYNTHETIC_STANDARD_COST,true,true
NODE-0003,MAT-0002,P01,3.2,SYNTHETIC_STANDARD_COST,true,true
NODE-0004,MAT-0003,P02,5.95,SYNTHETIC_STANDARD_COST,true,true
NODE-0005,MAT-0003,P02,6.15,SYNTHETIC_STANDARD_COST,true,true
NODE-0006,MAT-0004,P02,4.45,SYNTHETIC_STANDARD_COST,true,true
NODE-0007,MAT-0004,P02,5.6,SYNTHETIC_STANDARD_COST,true,true
NODE-0008,MAT-0004,P02,5.1,SYNTHETIC_STANDARD_COST,true,true
NODE-0009,MAT-0005,P03,19.5,SYNTHETIC_STANDARD_COST,true,true
NODE-0010,MAT-0005,P03,20.1,SYNTHETIC_STANDARD_COST,true,true
