currency,period_id,eur_per_currency_unit,rate_source,scenario_sensitive_flag
EUR,P01,1.0,SYNTHETIC_FIXED,false
EUR,P02,1.0,SYNTHETIC_FIXED,false
EUR,P03,1.0,SYNTHETIC_FIXED,false
EUR,P04,1.0,SYNTHETIC_FIXED,false
EUR,P05,1.0,SYNTHETIC_FIXED,false
GBP,P01,1.15,SYNTHETIC_FIXED,false
GBP,P02,1.15,SYNTHETIC_FIXED,false
GBP,P03,1.15,SYNTHETIC_FIXED,false
GBP,P04,1.15,SYNTHETIC_FIXED,false
GBP,P05,1.15,SYNTHETIC_FIXED,false
PLN,P01,0.23,SYNTHETIC_FIXED,false
PLN,P02,0.23,SYNTHETIC_FIXED,false
PLN,P03,0.23,SYNTHETIC_FIXED,false
PLN,P04,0.23,SYNTHETIC_FIXED,false
PLN,P05,0.23,SYNTHETIC_FIXED,false
