node_id,material_id,month,ordered_quantity,received_quantity,on_time_quantity,accepted_quantity,average_actual_lead_time_days,lead_time_std_days,quality_incident_count,source_completeness_flag
NODE-0001,MAT-0001,2026-10-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0001,MAT-0001,2026-11-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0001,MAT-0001,2026-12-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0002,MAT-0002,2026-10-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0002,MAT-0002,2026-11-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0002,MAT-0002,2026-12-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0003,MAT-0002,2026-10-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0003,MAT-0002,2026-11-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0003,MAT-0002,2026-12-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0004,MAT-0003,2026-10-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0004,MAT-0003,2026-11-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0004,MAT-0003,2026-12-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0005,MAT-0003,2026-10-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0005,MAT-0003,2026-11-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0005,MAT-0003,2026-12-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0006,MAT-0004,2026-10-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0006,MAT-0004,2026-11-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0006,MAT-0004,2026-12-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0007,MAT-0004,2026-10-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0007,MAT-0004,2026-11-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0007,MAT-0004,2026-12-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0008,MAT-0004,2026-10-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0008,MAT-0004,2026-11-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0008,MAT-0004,2026-12-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0009,MAT-0005,2026-10-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0009,MAT-0005,2026-11-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0009,MAT-0005,2026-12-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0010,MAT-0005,2026-10-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0010,MAT-0005,2026-11-01,100.0,100.0,95.0,98.0,4.0,0.6,0,COMPLETE
NODE-0010,MAT-0005,2026-12-01,100.0,100.0,95.0,98.0,4.0,0.6,1,PARTIAL
