node_id,recipe_id,period_id,regular_output_capacity,surge_output_capacity,surge_conversion_premium,planned_downtime_fraction,shared_capacity_group_id,shared_capacity_coefficient
NODE-0004,RCP-00001,P01,0.0,0.0,0.0,0.0,,
NODE-0004,RCP-00001,P02,80.0,0.0,0.0,0.0,,
NODE-0004,RCP-00001,P03,0.0,0.0,0.0,0.0,,
NODE-0004,RCP-00001,P04,0.0,0.0,0.0,0.0,,
NODE-0004,RCP-00001,P05,0.0,0.0,0.0,0.0,,
NODE-0005,RCP-00002,P01,0.0,0.0,0.0,0.0,,
NODE-0005,RCP-00002,P02,60.0,0.0,0.0,0.0,,
NODE-0005,RCP-00002,P03,0.0,0.0,0.0,0.0,,
NODE-0005,RCP-00002,P04,0.0,0.0,0.0,0.0,,
NODE-0005,RCP-00002,P05,0.0,0.0,0.0,0.0,,
NODE-0006,RCP-00003,P01,0.0,0.0,0.0,0.0,,
NODE-0006,RCP-00003,P02,150.0,0.0,0.0,0.0,,
NODE-0006,RCP-00003,P03,0.0,0.0,0.0,0.0,,
NODE-0006,RCP-00003,P04,0.0,0.0,0.0,0.0,,
NODE-0006,RCP-00003,P05,0.0,0.0,0.0,0.0,,
NODE-0007,RCP-00004,P01,0.0,0.0,0.0,0.0,,
NODE-0007,RCP-00004,P02,40.0,0.0,0.0,0.0,,
NODE-0007,RCP-00004,P03,0.0,0.0,0.0,0.0,,
NODE-0007,RCP-00004,P04,0.0,0.0,0.0,0.0,,
NODE-0007,RCP-00004,P05,0.0,0.0,0.0,0.0,,
NODE-0008,RCP-00005,P01,0.0,0.0,0.0,0.0,,
NODE-0008,RCP-00005,P02,50.0,0.0,0.0,0.0,,
NODE-0008,RCP-00005,P03,0.0,0.0,0.0,0.0,,
NODE-0008,RCP-00005,P04,0.0,0.0,0.0,0.0,,
NODE-0008,RCP-00005,P05,0.0,0.0,0.0,0.0,,
NODE-0009,RCP-00006,P01,0.0,0.0,0.0,0.0,,
NODE-0009,RCP-00006,P02,0.0,0.0,0.0,0.0,,
NODE-0009,RCP-00006,P03,80.0,0.0,0.0,0.0,,
NODE-0009,RCP-00006,P04,0.0,0.0,0.0,0.0,,
NODE-0009,RCP-00006,P05,0.0,0.0,0.0,0.0,,
NODE-0010,RCP-00007,P01,0.0,0.0,0.0,0.0,,
NODE-0010,RCP-00007,P02,0.0,0.0,0.0,0.0,,
NODE-0010,RCP-00007,P03,60.0,0.0,0.0,0.0,,
NODE-0010,RCP-00007,P04,0.0,0.0,0.0,0.0,,
NODE-0010,RCP-00007,P05,0.0,0.0,0.0,0.0,,
