lane_id,approval_id,contract_id,origin_node_id,destination_node_id,material_id,dispatch_period_id,arrival_period_id,quantity_units,dispatched_value_eur,freight_eur,duty_eur,insurance_eur,fixed_shipment_eur,fixed_order_eur,receipt_value_eur
LANE-00001,APR-00001,CTR-00001,NODE-0001,NODE-0004,MAT-0001,P01,P02,60.0,240.0,12.0,0.0,0.0,0.0,6.0,258.0
LANE-00002,APR-00002,CTR-00002,NODE-0001,NODE-0005,MAT-0001,P01,P02,40.0,160.0,8.0,0.0,0.0,0.0,6.0,174.0
LANE-00003,APR-00003,CTR-00003,NODE-0002,NODE-0006,MAT-0002,P01,P02,80.0,160.0,16.0,0.0,0.0,0.0,6.0,182.0
LANE-00004,APR-00004,CTR-00004,NODE-0002,NODE-0008,MAT-0002,P01,P02,30.0,60.0,6.0,0.0,0.0,0.0,6.0,72.0
LANE-00005,APR-00005,CTR-00005,NODE-0003,NODE-0006,MAT-0002,P01,P02,50.0,150.0,10.0,3.0,3.0,0.0,6.0,172.0
LANE-00006,APR-00006,CTR-00006,NODE-0003,NODE-0007,MAT-0002,P01,P02,50.0,150.0,10.0,3.0,0.0,0.0,6.0,169.0
LANE-00007,APR-00007,CTR-00007,NODE-0004,NODE-0009,MAT-0003,P02,P03,60.0,330.0,0.0,0.0,0.0,8.0,4.0,342.0
LANE-00008,APR-00008,CTR-00008,NODE-0005,NODE-0010,MAT-0003,P02,P03,40.0,242.0,0.0,0.0,0.0,10.0,4.0,256.0
LANE-00009,APR-00009,CTR-00009,NODE-0006,NODE-0009,MAT-0004,P02,P03,120.0,540.0,0.0,0.0,0.0,20.0,4.0,564.0
LANE-00010,APR-00010,CTR-00010,NODE-0007,NODE-0010,MAT-0004,P02,P03,40.0,198.0,0.0,0.0,0.0,12.0,4.0,214.0
LANE-00011,APR-00011,CTR-00011,NODE-0008,NODE-0010,MAT-0004,P02,P03,30.0,132.0,0.0,0.0,0.0,12.0,4.0,148.0
LANE-00012,APR-00012,CTR-00012,NODE-0009,NODE-0011,MAT-0005,P03,P04,35.0,654.5,0.0,0.0,0.0,0.0,4.0,658.5
LANE-00013,APR-00013,CTR-00013,NODE-0009,NODE-0012,MAT-0005,P03,P04,25.0,467.5,0.0,0.0,0.0,20.0,4.0,491.5
LANE-00014,APR-00014,CTR-00014,NODE-0010,NODE-0012,MAT-0005,P03,P04,15.0,313.5,0.0,0.0,0.0,18.0,4.0,335.5
LANE-00015,APR-00015,CTR-00015,NODE-0010,NODE-0013,MAT-0005,P03,P04,20.0,418.0,0.0,0.0,0.0,20.0,4.0,442.0
