node_id,recipe_id,period_id,regular_output_capacity,surge_output_capacity,surge_conversion_premium,planned_downtime_fraction,shared_capacity_group_id,shared_capacity_coefficient
NODE-0013,RCP-00001,P01,753.08,188.27,2.8648,0.0,SHR-NODE-0013,0.8989
NODE-0013,RCP-00001,P02,730.1,182.52,2.8719,0.15,SHR-NODE-0013,0.8989
NODE-0013,RCP-00001,P03,708.11,177.03,2.8708,0.0,SHR-NODE-0013,0.8989
NODE-0013,RCP-00001,P04,691.57,172.89,2.8618,0.0,SHR-NODE-0013,0.8989
NODE-0013,RCP-00001,P05,683.86,170.96,2.8471,0.0,SHR-NODE-0013,0.8989
NODE-0013,RCP-00001,P06,686.52,171.63,2.8303,0.0,SHR-NODE-0013,0.8989
NODE-0013,RCP-00001,P07,699.02,174.76,2.8154,0.0,SHR-NODE-0013,0.8989
NODE-0013,RCP-00001,P08,718.83,179.71,2.8062,0.0,SHR-NODE-0013,0.8989
NODE-0013,RCP-00001,P09,741.92,185.48,2.8049,0.0,SHR-NODE-0013,0.8989
NODE-0013,RCP-00001,P10,763.6,190.9,2.8118,0.0,SHR-NODE-0013,0.8989
NODE-0013,RCP-00001,P11,779.46,194.87,2.8252,0.0,SHR-NODE-0013,0.8989
NODE-0013,RCP-00001,P12,786.3,196.57,2.8418,0.0,SHR-NODE-0013,0.8989
NODE-0016,RCP-00002,P01,667.78,166.94,2.1115,0.0,SHR-NODE-0016,1.0476
NODE-0016,RCP-00002,P02,649.15,162.29,2.1006,0.0,SHR-NODE-0016,1.0476
NODE-0016,RCP-00002,P03,628.95,157.24,2.0881,0.0,SHR-NODE-0016,1.0476
NODE-0016,RCP-00002,P04,611.27,152.82,2.0772,0.0,SHR-NODE-0016,1.0476
NODE-0016,RCP-00002,P05,599.71,149.93,2.0705,0.0,SHR-NODE-0016,1.0476
NODE-0016,RCP-00002,P06,596.61,149.15,2.0697,0.15,SHR-NODE-0016,1.0476
NODE-0016,RCP-00002,P07,602.6,150.65,2.0749,0.0,SHR-NODE-0016,1.0476
NODE-0016,RCP-00002,P08,616.47,154.12,2.0849,0.0,SHR-NODE-0016,1.0476
NODE-0016,RCP-00002,P09,635.4,158.85,2.0972,0.0,SHR-NODE-0016,1.0476
NODE-0016,RCP-00002,P10,655.55,163.89,2.1088,0.0,SHR-NODE-0016,1.0476
NODE-0016,RCP-00002,P11,672.81,168.2,2.1169,0.0,SHR-NODE-0016,1.0476
NODE-0016,RCP-00002,P12,683.7,170.92,2.1195,0.0,SHR-NODE-0016,1.0476
NODE-0014,RCP-00003,P01,741.7,185.43,2.6395,0.0,SHR-NODE-0014,0.8405
NODE-0014,RCP-00003,P02,756.37,189.09,2.64,0.0,SHR-NODE-0014,0.8405
NODE-0014,RCP-00003,P03,762.06,190.52,2.6329,0.0,SHR-NODE-0014,0.8405
NODE-0014,RCP-00003,P04,757.64,189.41,2.6201,0.0,SHR-NODE-0014,0.8405
NODE-0014,RCP-00003,P05,743.99,186.0,2.6047,0.0,SHR-NODE-0014,0.8405
NODE-0014,RCP-00003,P06,723.9,180.97,2.5905,0.0,SHR-NODE-0014,0.8405
NODE-0014,RCP-00003,P07,701.43,175.36,2.5808,0.15,SHR-NODE-0014,0.8405
NODE-0014,RCP-00003,P08,681.16,170.29,2.5782,0.0,SHR-NODE-0014,0.8405
NODE-0014,RCP-00003,P09,667.19,166.8,2.5833,0.0,SHR-NODE-0014,0.8405
NODE-0014,RCP-00003,P10,662.37,165.59,2.5947,0.0,SHR-NODE-0014,0.8405
NODE-0014,RCP-00003,P11,667.68,166.92,2.6097,0.0,SHR-NODE-0014,0.8405
NODE-0014,RCP-00003,P12,682.03,170.51,2.6247,0.0,SHR-NODE-0014,0.8405
NODE-0017,RCP-00004,P01,690.72,172.68,2.8789,0.0,SHR-NODE-0017,0.8775
NODE-0017,RCP-00004,P02,705.28,176.32,2.8802,0.0,SHR-NODE-0017,0.8775
NODE-0017,RCP-00004,P03,711.72,177.93,2.8732,0.0,SHR-NODE-0017,0.8775
NODE-0017,RCP-00004,P04,708.74,177.19,2.8598,0.0,SHR-NODE-0017,0.8775
NODE-0017,RCP-00004,P05,696.95,174.24,2.843,0.0,SHR-NODE-0017,0.8775
NODE-0017,RCP-00004,P06,678.73,169.68,2.8272,0.15,SHR-NODE-0017,0.8775
NODE-0017,RCP-00004,P07,657.78,164.45,2.8161,0.0,SHR-NODE-0017,0.8775
