currency,period_id,eur_per_currency_unit,rate_source,scenario_sensitive_flag
BRL,P01,0.170071799,SYNTHETIC_FIXED,true
BRL,P02,0.169803808,SYNTHETIC_FIXED,true
BRL,P03,0.169652738,SYNTHETIC_FIXED,true
BRL,P04,0.169640268,SYNTHETIC_FIXED,true
BRL,P05,0.169754143,SYNTHETIC_FIXED,true
BRL,P06,0.169951174,SYNTHETIC_FIXED,true
BRL,P07,0.170167813,SYNTHETIC_FIXED,true
BRL,P08,0.170335712,SYNTHETIC_FIXED,true
BRL,P09,0.170398455,SYNTHETIC_FIXED,true
BRL,P10,0.170325372,SYNTHETIC_FIXED,true
BRL,P11,0.170119049,SYNTHETIC_FIXED,true
BRL,P12,0.169814692,SYNTHETIC_FIXED,true
CAD,P01,0.67711191,SYNTHETIC_FIXED,true
CAD,P02,0.679311134,SYNTHETIC_FIXED,true
CAD,P03,0.680742563,SYNTHETIC_FIXED,true
CAD,P04,0.681263834,SYNTHETIC_FIXED,true
CAD,P05,0.680955423,SYNTHETIC_FIXED,true
CAD,P06,0.68010094,SYNTHETIC_FIXED,true
CAD,P07,0.679117693,SYNTHETIC_FIXED,true
CAD,P08,0.678454516,SYNTHETIC_FIXED,true
CAD,P09,0.678481878,SYNTHETIC_FIXED,true
CAD,P10,0.679401181,SYNTHETIC_FIXED,true
CAD,P11,0.681195449,SYNTHETIC_FIXED,true
CAD,P12,0.683633482,SYNTHETIC_FIXED,true
CZK,P01,0.040771093,SYNTHETIC_FIXED,true
CZK,P02,0.040703432,SYNTHETIC_FIXED,true
CZK,P03,0.040602503,SYNTHETIC_FIXED,true
CZK,P04,0.040462138,SYNTHETIC_FIXED,true
CZK,P05,0.040285824,SYNTHETIC_FIXED,true
CZK,P06,0.040085849,SYNTHETIC_FIXED,true
CZK,P07,0.039880295,SYNTHETIC_FIXED,true
CZK,P08,0.039688609,SYNTHETIC_FIXED,true
CZK,P09,0.039526844,SYNTHETIC_FIXED,true
CZK,P10,0.039403725,SYNTHETIC_FIXED,true
CZK,P11,0.039318517,SYNTHETIC_FIXED,true
CZK,P12,0.039261204,SYNTHETIC_FIXED,true
EUR,P01,1.0,SYNTHETIC_FIXED,false
EUR,P02,1.0,SYNTHETIC_FIXED,false
EUR,P03,1.0,SYNTHETIC_FIXED,false
EUR,P04,1.0,SYNTHETIC_FIXED,false
EUR,P05,1.0,SYNTHETIC_FIXED,false
EUR,P06,1.0,SYNTHETIC_FIXED,false
EUR,P07,1.0,SYNTHETIC_FIXED,false
EUR,P08,1.0,SYNTHETIC_FIXED,false
EUR,P09,1.0,SYNTHETIC_FIXED,false
EUR,P10,1.0,SYNTHETIC_FIXED,false
EUR,P11,1.0,SYNTHETIC_FIXED,false
EUR,P12,1.0,SYNTHETIC_FIXED,false
GBP,P01,1.189506476,SYNTHETIC_FIXED,true
GBP,P02,1.185770836,SYNTHETIC_FIXED,true
GBP,P03,1.18212188,SYNTHETIC_FIXED,true
GBP,P04,1.178575681,SYNTHETIC_FIXED,true
GBP,P05,1.175123153,SYNTHETIC_FIXED,true
GBP,P06,1.171732277,SYNTHETIC_FIXED,true
GBP,P07,1.168355939,SYNTHETIC_FIXED,true
GBP,P08,1.164943465,SYNTHETIC_FIXED,true
GBP,P09,1.161453028,SYNTHETIC_FIXED,true
GBP,P10,1.157861891,SYNTHETIC_FIXED,true
GBP,P11,1.154171971,SYNTHETIC_FIXED,true
GBP,P12,1.150409369,SYNTHETIC_FIXED,true
INR,P01,0.011101915,SYNTHETIC_FIXED,true
INR,P02,0.011063806,SYNTHETIC_FIXED,true
INR,P03,0.011034676,SYNTHETIC_FIXED,true
INR,P04,0.011016191,SYNTHETIC_FIXED,true
INR,P05,0.011007409,SYNTHETIC_FIXED,true
INR,P06,0.011005014,SYNTHETIC_FIXED,true
INR,P07,0.011004124,SYNTHETIC_FIXED,true
INR,P08,0.010999492,SYNTHETIC_FIXED,true
INR,P09,0.010986783,SYNTHETIC_FIXED,true
INR,P10,0.010963643,SYNTHETIC_FIXED,true
