approval_id,seller_node_id,buyer_node_id,material_id,approval_status,valid_from_period,valid_to_period,maximum_approved_share,qualification_score,notes
APR-00001,NODE-0001,NODE-0013,MAT-0001,APPROVED,P01,P12,0.66,75.6,Qualified structural source
APR-00002,NODE-0001,NODE-0013,MAT-0008,APPROVED,P01,P12,,78.3,Qualified structural source
APR-00003,NODE-0001,NODE-0020,MAT-0008,APPROVED,P01,P12,0.66,86.5,Qualified structural source
APR-00004,NODE-0002,NODE-0013,MAT-0002,APPROVED,P01,P12,,76.6,Qualified structural source
APR-00005,NODE-0002,NODE-0014,MAT-0002,APPROVED,P01,P12,0.64,81.1,Qualified structural source
APR-00006,NODE-0002,NODE-0014,MAT-0009,APPROVED,P01,P12,,89.7,Qualified structural source
APR-00007,NODE-0003,NODE-0014,MAT-0010,APPROVED,P01,P12,0.79,77.0,Qualified structural source
APR-00008,NODE-0003,NODE-0015,MAT-0003,APPROVED,P01,P12,0.65,86.0,Qualified structural source
APR-00009,NODE-0003,NODE-0015,MAT-0010,APPROVED,P01,P12,,91.6,Qualified structural source
APR-00010,NODE-0003,NODE-0016,MAT-0003,APPROVED,P01,P12,,90.8,Qualified structural source
APR-00011,NODE-0004,NODE-0013,MAT-0011,APPROVED,P01,P12,0.77,83.2,Qualified structural source
APR-00012,NODE-0004,NODE-0015,MAT-0004,APPROVED,P01,P12,,84.6,Qualified structural source
APR-00013,NODE-0004,NODE-0016,MAT-0004,APPROVED,P01,P12,0.8,75.6,Qualified structural source
APR-00014,NODE-0005,NODE-0013,MAT-0012,APPROVED,P01,P12,,76.0,Qualified structural source
APR-00015,NODE-0005,NODE-0017,MAT-0005,APPROVED,P01,P12,0.7,89.0,Qualified structural source
APR-00016,NODE-0005,NODE-0018,MAT-0005,APPROVED,P01,P12,,84.0,Qualified structural source
APR-00017,NODE-0006,NODE-0013,MAT-0001,APPROVED,P01,P12,0.65,79.6,Qualified structural source
APR-00018,NODE-0006,NODE-0017,MAT-0006,APPROVED,P01,P12,,85.9,Qualified structural source
APR-00019,NODE-0006,NODE-0018,MAT-0006,APPROVED,P01,P12,0.68,80.6,Qualified structural source
APR-00020,NODE-0007,NODE-0014,MAT-0002,APPROVED,P01,P12,0.78,90.1,Qualified structural source
APR-00021,NODE-0007,NODE-0019,MAT-0007,APPROVED,P01,P12,0.8,90.5,Qualified structural source
APR-00022,NODE-0007,NODE-0020,MAT-0007,APPROVED,P01,P12,,84.3,Qualified structural source
APR-00023,NODE-0008,NODE-0015,MAT-0003,APPROVED,P01,P12,0.81,78.6,Qualified structural source
APR-00024,NODE-0008,NODE-0019,MAT-0008,APPROVED,P01,P12,,78.6,Qualified structural source
APR-00025,NODE-0008,NODE-0020,MAT-0008,APPROVED,P01,P12,0.64,73.8,Qualified structural source
APR-00026,NODE-0009,NODE-0016,MAT-0004,APPROVED,P01,P12,0.73,90.3,Qualified structural source
APR-00027,NODE-0009,NODE-0017,MAT-0004,APPROVED,P01,P12,,72.9,Qualified structural source
APR-00028,NODE-0010,NODE-0014,MAT-0010,APPROVED,P01,P12,0.66,83.5,Qualified structural source
APR-00029,NODE-0010,NODE-0017,MAT-0005,APPROVED,P01,P12,0.73,74.2,Qualified structural source
APR-00030,NODE-0011,NODE-0013,MAT-0011,APPROVED,P01,P12,0.72,83.9,Qualified structural source
APR-00031,NODE-0011,NODE-0018,MAT-0006,APPROVED,P01,P12,0.64,96.2,Qualified structural source
APR-00032,NODE-0011,NODE-0019,MAT-0006,APPROVED,P01,P12,,72.6,Qualified structural source
APR-00033,NODE-0012,NODE-0019,MAT-0007,APPROVED,P01,P12,0.63,87.4,Qualified structural source
APR-00034,NODE-0013,NODE-0022,MAT-0013,APPROVED,P01,P12,,88.6,Qualified structural source
APR-00035,NODE-0013,NODE-0024,MAT-0018,APPROVED,P01,P12,0.72,75.1,Qualified structural source
APR-00036,NODE-0013,NODE-0026,MAT-0018,APPROVED,P01,P12,0.77,96.1,Qualified structural source
APR-00037,NODE-0013,NODE-0027,MAT-0018,APPROVED,P01,P12,,93.0,Qualified structural source
APR-00038,NODE-0014,NODE-0023,MAT-0014,APPROVED,P01,P12,,81.3,Qualified structural source
APR-00039,NODE-0014,NODE-0024,MAT-0014,APPROVED,P01,P12,0.78,90.7,Qualified structural source
APR-00040,NODE-0014,NODE-0024,MAT-0019,APPROVED,P01,P12,,96.7,Qualified structural source
APR-00041,NODE-0014,NODE-0027,MAT-0019,APPROVED,P01,P12,0.74,74.6,Qualified structural source
APR-00042,NODE-0015,NODE-0021,MAT-0020,APPROVED,P01,P12,,74.1,Qualified structural source
APR-00043,NODE-0015,NODE-0023,MAT-0015,APPROVED,P01,P12,0.71,94.6,Qualified structural source
APR-00044,NODE-0015,NODE-0024,MAT-0020,APPROVED,P01,P12,0.69,91.4,Qualified structural source
APR-00045,NODE-0015,NODE-0025,MAT-0015,APPROVED,P01,P12,0.64,79.8,Qualified structural source
APR-00046,NODE-0015,NODE-0028,MAT-0020,APPROVED,P01,P12,0.63,76.4,Qualified structural source
APR-00047,NODE-0016,NODE-0023,MAT-0016,APPROVED,P01,P12,,78.9,Qualified structural source
APR-00048,NODE-0016,NODE-0024,MAT-0013,APPROVED,P01,P12,,77.3,Qualified structural source
APR-00049,NODE-0016,NODE-0024,MAT-0016,APPROVED,P01,P12,0.78,87.0,Qualified structural source
APR-00050,NODE-0016,NODE-0028,MAT-0016,APPROVED,P01,P12,0.81,76.7,Qualified structural source
APR-00051,NODE-0017,NODE-0024,MAT-0014,APPROVED,P01,P12,0.72,92.9,Qualified structural source
APR-00052,NODE-0017,NODE-0024,MAT-0017,APPROVED,P01,P12,,94.8,Qualified structural source
