recipe_id,input_material_id,quantity_per_output,scrap_recovery_flag,input_sequence
RCP-00001,MAT-0001,0.5628,false,1
RCP-00001,MAT-0002,0.5043,false,2
RCP-00002,MAT-0003,0.6318,false,1
RCP-00003,MAT-0002,0.585,false,1
RCP-00004,MAT-0004,1.1665,false,1
RCP-00005,MAT-0003,1.0123,false,1
RCP-00005,MAT-0004,1.1103,false,2
RCP-00006,MAT-0005,0.5298,false,1
RCP-00007,MAT-0004,0.7654,false,1
RCP-00008,MAT-0006,0.8123,false,1
RCP-00009,MAT-0005,0.467,false,1
RCP-00009,MAT-0006,0.8116,false,2
RCP-00010,MAT-0007,0.9504,false,1
RCP-00011,MAT-0006,0.3594,false,1
RCP-00012,MAT-0008,1.2653,false,1
RCP-00013,MAT-0007,0.6139,false,1
RCP-00013,MAT-0008,0.4344,false,2
RCP-00014,MAT-0009,1.0484,false,1
RCP-00015,MAT-0008,1.1717,false,1
RCP-00016,MAT-0010,0.6085,false,1
RCP-00017,MAT-0013,1.2017,false,1
RCP-00017,MAT-0014,0.43,false,2
RCP-00018,MAT-0015,0.9636,false,1
RCP-00019,MAT-0014,0.5814,false,1
RCP-00020,MAT-0016,1.2969,false,1
RCP-00021,MAT-0015,0.5818,false,1
RCP-00021,MAT-0016,1.0116,false,2
RCP-00022,MAT-0017,1.1211,false,1
RCP-00023,MAT-0016,0.6125,false,1
RCP-00024,MAT-0018,0.4992,false,1
RCP-00025,MAT-0017,1.3187,false,1
RCP-00025,MAT-0018,1.1713,false,2
RCP-00026,MAT-0019,1.2247,false,1
RCP-00027,MAT-0018,0.9269,false,1
RCP-00028,MAT-0020,0.5917,false,1
RCP-00029,MAT-0019,0.6901,false,1
RCP-00029,MAT-0020,1.3213,false,2
RCP-00030,MAT-0013,0.5231,false,1
RCP-00031,MAT-0020,1.0311,false,1
RCP-00032,MAT-0014,0.6179,false,1
RCP-00033,MAT-0021,1.1154,false,1
RCP-00033,MAT-0022,1.1057,false,2
RCP-00034,MAT-0021,0.5231,false,1
RCP-00035,MAT-0022,1.0225,false,1
RCP-00035,MAT-0023,0.4621,false,2
RCP-00036,MAT-0022,1.3218,false,1
RCP-00037,MAT-0023,0.73,false,1
RCP-00037,MAT-0024,0.4701,false,2
RCP-00038,MAT-0023,0.849,false,1
RCP-00039,MAT-0024,1.296,false,1
RCP-00040,MAT-0024,0.5956,false,1
RCP-00041,MAT-0025,1.1744,false,1
RCP-00041,MAT-0026,1.2861,false,2
RCP-00042,MAT-0025,0.9455,false,1
RCP-00043,MAT-0026,0.7322,false,1
RCP-00044,MAT-0026,1.1669,false,1
RCP-00045,MAT-0027,0.4743,false,1
RCP-00045,MAT-0028,0.5557,false,2
RCP-00046,MAT-0027,0.7204,false,1
RCP-00047,MAT-0028,0.4432,false,1
RCP-00048,MAT-0028,0.6561,false,1
RCP-00049,MAT-0011,0.4713,false,1
RCP-00049,MAT-0012,0.4541,false,2
RCP-00050,MAT-0010,1.2795,false,1
RCP-00051,MAT-0019,1.2667,false,1
RCP-00051,MAT-0020,0.8972,false,2
RCP-00052,MAT-0027,0.5798,false,1
