control_total_id,description,expected_value,unit,absolute_tolerance,relative_tolerance
CT-001,NODE-0001 boundary origination quantity,100.0,units,1e-05,1e-07
CT-002,NODE-0001 boundary origination value,400.0,EUR,0.001,1e-07
CT-003,NODE-0001 boundary origination unit cost,4.0,EUR/unit,1e-05,1e-07
CT-004,NODE-0002 boundary origination quantity,110.0,units,1e-05,1e-07
CT-005,NODE-0002 boundary origination value,220.0,EUR,0.001,1e-07
CT-006,NODE-0002 boundary origination unit cost,2.0,EUR/unit,1e-05,1e-07
CT-007,NODE-0003 boundary origination quantity,100.0,units,1e-05,1e-07
CT-008,NODE-0003 boundary origination value,300.0,EUR,0.001,1e-07
CT-009,NODE-0003 boundary origination unit cost,3.0,EUR/unit,1e-05,1e-07
CT-010,LANE-00001 boundary receipt value (NODE-0001->NODE-0004),258.0,EUR,0.001,1e-07
CT-011,LANE-00002 boundary receipt value (NODE-0001->NODE-0005),174.0,EUR,0.001,1e-07
CT-012,LANE-00003 boundary receipt value (NODE-0002->NODE-0006),182.0,EUR,0.001,1e-07
CT-013,LANE-00004 boundary receipt value (NODE-0002->NODE-0008),72.0,EUR,0.001,1e-07
CT-014,LANE-00005 boundary receipt value (NODE-0003->NODE-0006),172.0,EUR,0.001,1e-07
CT-015,LANE-00006 boundary receipt value (NODE-0003->NODE-0007),169.0,EUR,0.001,1e-07
CT-016,NODE-0004 Tier-3 input pool quantity (MAT-0001),60.0,units,1e-05,1e-07
CT-017,NODE-0004 Tier-3 input pool value (MAT-0001),258.0,EUR,0.001,1e-07
CT-018,NODE-0004 Tier-3 input pool unit cost (MAT-0001),4.3,EUR/unit,1e-05,1e-07
CT-019,NODE-0005 Tier-3 input pool quantity (MAT-0001),40.0,units,1e-05,1e-07
CT-020,NODE-0005 Tier-3 input pool value (MAT-0001),174.0,EUR,0.001,1e-07
CT-021,NODE-0005 Tier-3 input pool unit cost (MAT-0001),4.35,EUR/unit,1e-05,1e-07
CT-022,NODE-0006 Tier-3 input pool quantity (MAT-0002),150.0,units,1e-05,1e-07
CT-023,NODE-0006 Tier-3 input pool value (MAT-0002),402.0,EUR,0.001,1e-07
CT-024,NODE-0006 Tier-3 input pool unit cost (MAT-0002),2.68,EUR/unit,1e-05,1e-07
CT-025,NODE-0007 Tier-3 input pool quantity (MAT-0002),50.0,units,1e-05,1e-07
CT-026,NODE-0007 Tier-3 input pool value (MAT-0002),169.0,EUR,0.001,1e-07
CT-027,NODE-0007 Tier-3 input pool unit cost (MAT-0002),3.38,EUR/unit,1e-05,1e-07
CT-028,NODE-0008 Tier-3 input pool quantity (MAT-0002),30.0,units,1e-05,1e-07
CT-029,NODE-0008 Tier-3 input pool value (MAT-0002),72.0,EUR,0.001,1e-07
CT-030,NODE-0008 Tier-3 input pool unit cost (MAT-0002),2.4,EUR/unit,1e-05,1e-07
CT-031,NODE-0004 Tier-3 transformation output value (RCP-00001),330.0,EUR,0.001,1e-07
CT-032,NODE-0004 Tier-3 transformation output unit cost (RCP-00001),5.5,EUR/unit,1e-05,1e-07
CT-033,NODE-0005 Tier-3 transformation output value (RCP-00002),242.0,EUR,0.001,1e-07
CT-034,NODE-0005 Tier-3 transformation output unit cost (RCP-00002),6.05,EUR/unit,1e-05,1e-07
CT-035,NODE-0006 Tier-3 transformation output value (RCP-00003),540.0,EUR,0.001,1e-07
CT-036,NODE-0006 Tier-3 transformation output unit cost (RCP-00003),4.5,EUR/unit,1e-05,1e-07
