contract_id,approval_id,currency,incoterm_code,contract_handling_days,minimum_order_quantity,order_multiple,fixed_order_cost,horizon_activation_cost,payment_terms_days,effective_from_period,effective_to_period,active_flag
CTR-00001,APR-00001,EUR,FCA,2,60.0,60.0,6.0,0.0,30,P01,P01,true
CTR-00002,APR-00002,EUR,FCA,2,40.0,40.0,6.0,0.0,30,P01,P01,true
CTR-00003,APR-00003,EUR,FCA,2,80.0,80.0,6.0,0.0,30,P01,P01,true
CTR-00004,APR-00004,EUR,FCA,2,30.0,30.0,6.0,0.0,30,P01,P01,true
CTR-00005,APR-00005,EUR,FCA,2,50.0,50.0,6.0,0.0,30,P01,P01,true
CTR-00006,APR-00006,EUR,FCA,2,50.0,50.0,6.0,0.0,30,P01,P01,true
CTR-00007,APR-00007,EUR,FCA,2,60.0,60.0,4.0,0.0,30,P02,P02,true
CTR-00008,APR-00008,EUR,FCA,2,40.0,40.0,4.0,0.0,30,P02,P02,true
CTR-00009,APR-00009,EUR,FCA,2,120.0,120.0,4.0,0.0,30,P02,P02,true
CTR-00010,APR-00010,EUR,FCA,2,40.0,40.0,4.0,0.0,30,P02,P02,true
CTR-00011,APR-00011,EUR,FCA,2,30.0,30.0,4.0,0.0,30,P02,P02,true
CTR-00012,APR-00012,EUR,DDP,2,35.0,35.0,4.0,0.0,30,P03,P03,true
CTR-00013,APR-00013,EUR,FCA,2,25.0,25.0,4.0,0.0,30,P03,P03,true
CTR-00014,APR-00014,EUR,FCA,2,15.0,15.0,4.0,0.0,30,P03,P03,true
CTR-00015,APR-00015,EUR,FCA,2,20.0,20.0,4.0,0.0,30,P03,P03,true
